Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
3,0.07,0.04,1.0,11.687670153890467,3,e19a9ae5dcac,0.1,3,0.8,625
4,0.07,0.04,1.0,11.687693152342543,4,e19a9ae5dcac,0.1,3,0.8,625
5,0.07,0.04,1.0,11.687695782961269,5,e19a9ae5dcac,0.1,3,0.8,625
6,0.07,0.04,1.0,11.687696060312073,6,e19a9ae5dcac,0.1,3,0.8,625
7,0.07,0.04,1.0,11.687696089294253,7,e19a9ae5dcac,0.1,3,0.8,625
8,0.07,0.04,1.0,11.687696092609292,8,e19a9ae5dcac,0.1,3,0.8,625
9,0.07,0.04,1.0,11.687696092955708,9,e19a9ae5dcac,0.1,3,0.8,625
10,0.07,0.04,1.0,11.68769609299533,10,e19a9ae5dcac,0.1,3,0.8,625
11,0.07,0.04,1.0,11.687696092999508,11,e19a9ae5dcac,0.1,3,0.8,625
12,0.07,0.04,1.0,11.687696092999936,12,e19a9ae5dcac,0.1,3,0.8,625
13,0.07,0.04,1.0,11.68769609299999,13,e19a9ae5dcac,0.1,3,0.8,625
0,0.07,0.04,1.0,118.74767083882138,0,c0bfc4af02d8,0.1,3,0.8,625
1,0.07,0.04,7.0,573.5562128875689,1,c0bfc4af02d8,0.1,3,0.8,625
2,0.07,0.04,19.0,1500.7333838865195,2,c0bfc4af02d8,0.1,3,0.8,625
3,0.07,0.04,44.0,3384.4144496084828,3,c0bfc4af02d8,0.1,3,0.8,625
4,0.07,0.04,123.0,6468.836811239091,4,c0bfc4af02d8,0.1,3,0.8,625
5,0.07,0.04,297.0,10091.573993645092,5,c0bfc4af02d8,0.1,3,0.8,625
6,0.07,0.04,537.0,14108.475895652591,6,c0bfc4af02d8,0.1,3,0.8,625
7,0.07,0.04,773.0,18670.968065319445,7,c0bfc4af02d8,0.1,3,0.8,625
8,0.07,0.04,959.0,24842.976455207267,8,c0bfc4af02d8,0.1,3,0.8,625
9,0.07,0.04,1099.0,29012.723187985797,9,c0bfc4af02d8,0.1,3,0.8,625
10,0.07,0.04,1188.0,35276.98015035866,10,c0bfc4af02d8,0.1,3,0.8,625
11,0.07,0.04,1247.0,43660.82314703383,11,c0bfc4af02d8,0.1,3,0.8,625
12,0.07,0.04,1285.0,48976.74823373269,12,c0bfc4af02d8,0.1,3,0.8,625
13,0.07,0.04,1316.0,53756.121809427095,13,c0bfc4af02d8,0.1,3,0.8,625
0,0.07,0.04,1.0,8.05130553467845,0,b006237ff33d,0.1,3,0.8,625
1,0.07,0.04,1.0,8.063985892439415,1,b006237ff33d,0.1,3,0.8,625
2,0.07,0.04,1.0,8.065313423981381,2,b006237ff33d,0.1,3,0.8,625
3,0.07,0.04,1.0,8.065465299855225,3,b006237ff33d,0.1,3,0.8,625
4,0.07,0.04,1.0,8.06548117070157,4,b006237ff33d,0.1,3,0.8,625
5,0.07,0.04,1.0,8.065482986047465,5,b006237ff33d,0.1,3,0.8,625
6,0.07,0.04,1.0,8.065483177442609,6,b006237ff33d,0.1,3,0.8,625
7,0.07,0.04,1.0,8.065483197442726,7,b006237ff33d,0.1,3,0.8,625
8,0.07,0.04,1.0,8.06548319973038,8,b006237ff33d,0.1,3,0.8,625
9,0.07,0.04,1.0,8.065483199969433,9,b006237ff33d,0.1,3,0.8,625
10,0.07,0.04,1.0,8.065483199996777,10,b006237ff33d,0.1,3,0.8,625
11,0.07,0.04,1.0,8.06548319999966,11,b006237ff33d,0.1,3,0.8,625
12,0.07,0.04,1.0,8.065483199999955,12,b006237ff33d,0.1,3,0.8,625
13,0.07,0.04,1.0,8.065483199999992,13,b006237ff33d,0.1,3,0.8,625
0,0.07,0.04,1.0,10.442086517071626,0,1de5495d95a1,0.1,3,0.8,625
