Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
6,0.09,0.03,820.0,16648.94495730297,6,6af91aadeb43,0.1,3,0.4,625
7,0.09,0.03,952.0,20123.82469946252,7,6af91aadeb43,0.1,3,0.4,625
8,0.09,0.03,1052.0,22229.83899258945,8,6af91aadeb43,0.1,3,0.4,625
9,0.09,0.03,1163.0,23801.9191875001,9,6af91aadeb43,0.1,3,0.4,625
10,0.09,0.03,1292.0,25599.28245062282,10,6af91aadeb43,0.1,3,0.4,625
11,0.09,0.03,1362.0,27049.13996715745,11,6af91aadeb43,0.1,3,0.4,625
12,0.09,0.03,1469.0,28269.472932258566,12,6af91aadeb43,0.1,3,0.4,625
13,0.09,0.03,1572.0,30257.81427193232,13,6af91aadeb43,0.1,3,0.4,625
0,0.09,0.03,4.0,34.306617171690704,0,04c0932aaa6c,0.1,3,0.4,625
1,0.09,0.03,9.0,165.32512043242798,1,04c0932aaa6c,0.1,3,0.4,625
2,0.09,0.03,23.0,865.8540974196011,2,04c0932aaa6c,0.1,3,0.4,625
3,0.09,0.03,101.0,3045.19879466461,3,04c0932aaa6c,0.1,3,0.4,625
4,0.09,0.03,287.0,6202.343883576968,4,04c0932aaa6c,0.1,3,0.4,625
5,0.09,0.03,507.0,10351.508905699764,5,04c0932aaa6c,0.1,3,0.4,625
6,0.09,0.03,651.0,15558.53165323856,6,04c0932aaa6c,0.1,3,0.4,625
7,0.09,0.03,800.0,19111.938351650693,7,04c0932aaa6c,0.1,3,0.4,625
8,0.09,0.03,916.0,20900.1472517479,8,04c0932aaa6c,0.1,3,0.4,625
9,0.09,0.03,1048.0,22690.69669940014,9,04c0932aaa6c,0.1,3,0.4,625
10,0.09,0.03,1202.0,24767.73893827586,10,04c0932aaa6c,0.1,3,0.4,625
11,0.09,0.03,1293.0,26353.988860870973,11,04c0932aaa6c,0.1,3,0.4,625
12,0.09,0.03,1420.0,27656.922446961,12,04c0932aaa6c,0.1,3,0.4,625
13,0.09,0.03,1529.0,29519.491649923144,13,04c0932aaa6c,0.1,3,0.4,625
0,0.09,0.03,1.0,1.151583483651501,0,2284e196df21,0.1,3,0.4,625
1,0.09,0.03,1.0,1.1517322673085846,1,2284e196df21,0.1,3,0.4,625
2,0.09,0.03,1.0,1.151740218957759,2,2284e196df21,0.1,3,0.4,625
3,0.09,0.03,1.0,1.1517406911823531,3,2284e196df21,0.1,3,0.4,625
4,0.09,0.03,1.0,1.1517407164163382,4,2284e196df21,0.1,3,0.4,625
5,0.09,0.03,1.0,1.151740717914897,5,2284e196df21,0.1,3,0.4,625
6,0.09,0.03,1.0,1.1517407179954269,6,2284e196df21,0.1,3,0.4,625
7,0.09,0.03,1.0,1.15174071799973,7,2284e196df21,0.1,3,0.4,625
8,0.09,0.03,1.0,1.1517407179999857,8,2284e196df21,0.1,3,0.4,625
9,0.09,0.03,1.0,1.1517407179999992,9,2284e196df21,0.1,3,0.4,625
10,0.09,0.03,1.0,1.1517407179999994,10,2284e196df21,0.1,3,0.4,625
11,0.09,0.03,1.0,1.1517407179999994,11,2284e196df21,0.1,3,0.4,625
12,0.09,0.03,1.0,1.1517407179999994,12,2284e196df21,0.1,3,0.4,625
13,0.09,0.03,1.0,1.1517407179999994,13,2284e196df21,0.1,3,0.4,625
0,0.09,0.03,94.0,2431.0769760740827,0,72a025714561,0.1,3,0.4,625
1,0.09,0.03,243.0,5926.063990682379,1,72a025714561,0.1,3,0.4,625
2,0.09,0.03,563.0,10054.388787533131,2,72a025714561,0.1,3,0.4,625
3,0.09,0.03,887.0,14544.954307602336,3,72a025714561,0.1,3,0.4,625
4,0.09,0.03,1060.0,16950.43322224875,4,72a025714561,0.1,3,0.4,625
5,0.09,0.03,1138.0,18660.84407962272,5,72a025714561,0.1,3,0.4,625
6,0.09,0.03,1188.0,22468.67075221823,6,72a025714561,0.1,3,0.4,625
7,0.09,0.03,1241.0,24667.17773173169,7,72a025714561,0.1,3,0.4,625
8,0.09,0.03,1292.0,25509.89435824292,8,72a025714561,0.1,3,0.4,625
9,0.09,0.03,1370.0,26553.57779117761,9,72a025714561,0.1,3,0.4,625
10,0.09,0.03,1459.0,27640.065505151502,10,72a025714561,0.1,3,0.4,625
11,0.09,0.03,1507.0,28419.455857773435,11,72a025714561,0.1,3,0.4,625
12,0.09,0.03,1592.0,29343.93235400756,12,72a025714561,0.1,3,0.4,625
13,0.09,0.03,1667.0,31030.9239240326,13,72a025714561,0.1,3,0.4,625
0,0.09,0.03,1.0,3.351814175617859,0,da19ec9481cb,0.1,3,0.4,625
1,0.09,0.03,1.0,3.352247227305377,1,da19ec9481cb,0.1,3,0.4,625
