Unnamed: 0,b_w,b_b,monthly_cuml,months,seed,alpha,shift,D
8,0.07,0.03,1.0,8,d0ea28283d46,0.1,3,0.8
9,0.07,0.03,1.0,9,d0ea28283d46,0.1,3,0.8
10,0.07,0.03,1.0,10,d0ea28283d46,0.1,3,0.8
11,0.07,0.03,1.0,11,d0ea28283d46,0.1,3,0.8
12,0.07,0.03,1.0,12,d0ea28283d46,0.1,3,0.8
13,0.07,0.03,1.0,13,d0ea28283d46,0.1,3,0.8
0,0.07,0.03,7.0,0,432fc7b6119c,0.1,3,0.8
1,0.07,0.03,25.0,1,432fc7b6119c,0.1,3,0.8
2,0.07,0.03,86.0,2,432fc7b6119c,0.1,3,0.8
3,0.07,0.03,240.0,3,432fc7b6119c,0.1,3,0.8
4,0.07,0.03,431.0,4,432fc7b6119c,0.1,3,0.8
5,0.07,0.03,619.0,5,432fc7b6119c,0.1,3,0.8
6,0.07,0.03,807.0,6,432fc7b6119c,0.1,3,0.8
7,0.07,0.03,921.0,7,432fc7b6119c,0.1,3,0.8
8,0.07,0.03,973.0,8,432fc7b6119c,0.1,3,0.8
9,0.07,0.03,1121.0,9,432fc7b6119c,0.1,3,0.8
10,0.07,0.03,1189.0,10,432fc7b6119c,0.1,3,0.8
11,0.07,0.03,1219.0,11,432fc7b6119c,0.1,3,0.8
12,0.07,0.03,1316.0,12,432fc7b6119c,0.1,3,0.8
13,0.07,0.03,1397.0,13,432fc7b6119c,0.1,3,0.8
0,0.07,0.03,1.0,0,7f2048856d0b,0.1,3,0.8
1,0.07,0.03,3.0,1,7f2048856d0b,0.1,3,0.8
2,0.07,0.03,3.0,2,7f2048856d0b,0.1,3,0.8
3,0.07,0.03,3.0,3,7f2048856d0b,0.1,3,0.8
4,0.07,0.03,3.0,4,7f2048856d0b,0.1,3,0.8
5,0.07,0.03,3.0,5,7f2048856d0b,0.1,3,0.8
6,0.07,0.03,3.0,6,7f2048856d0b,0.1,3,0.8
7,0.07,0.03,3.0,7,7f2048856d0b,0.1,3,0.8
8,0.07,0.03,3.0,8,7f2048856d0b,0.1,3,0.8
9,0.07,0.03,3.0,9,7f2048856d0b,0.1,3,0.8
10,0.07,0.03,3.0,10,7f2048856d0b,0.1,3,0.8
11,0.07,0.03,3.0,11,7f2048856d0b,0.1,3,0.8
12,0.07,0.03,3.0,12,7f2048856d0b,0.1,3,0.8
13,0.07,0.03,3.0,13,7f2048856d0b,0.1,3,0.8
0,0.07,0.03,1.0,0,8b3ce9188d5a,0.1,3,0.8
1,0.07,0.03,3.0,1,8b3ce9188d5a,0.1,3,0.8
2,0.07,0.03,3.0,2,8b3ce9188d5a,0.1,3,0.8
3,0.07,0.03,14.0,3,8b3ce9188d5a,0.1,3,0.8
4,0.07,0.03,49.0,4,8b3ce9188d5a,0.1,3,0.8
5,0.07,0.03,117.0,5,8b3ce9188d5a,0.1,3,0.8
6,0.07,0.03,286.0,6,8b3ce9188d5a,0.1,3,0.8
7,0.07,0.03,443.0,7,8b3ce9188d5a,0.1,3,0.8
8,0.07,0.03,563.0,8,8b3ce9188d5a,0.1,3,0.8
9,0.07,0.03,771.0,9,8b3ce9188d5a,0.1,3,0.8
10,0.07,0.03,906.0,10,8b3ce9188d5a,0.1,3,0.8
11,0.07,0.03,1003.0,11,8b3ce9188d5a,0.1,3,0.8
12,0.07,0.03,1160.0,12,8b3ce9188d5a,0.1,3,0.8
13,0.07,0.03,1273.0,13,8b3ce9188d5a,0.1,3,0.8
0,0.07,0.03,1.0,0,f3b8f36ceb1a,0.1,3,0.8
1,0.07,0.03,1.0,1,f3b8f36ceb1a,0.1,3,0.8
2,0.07,0.03,1.0,2,f3b8f36ceb1a,0.1,3,0.8
3,0.07,0.03,1.0,3,f3b8f36ceb1a,0.1,3,0.8
4,0.07,0.03,1.0,4,f3b8f36ceb1a,0.1,3,0.8
5,0.07,0.03,1.0,5,f3b8f36ceb1a,0.1,3,0.8
6,0.07,0.03,1.0,6,f3b8f36ceb1a,0.1,3,0.8
7,0.07,0.03,1.0,7,f3b8f36ceb1a,0.1,3,0.8
8,0.07,0.03,1.0,8,f3b8f36ceb1a,0.1,3,0.8
9,0.07,0.03,1.0,9,f3b8f36ceb1a,0.1,3,0.8
10,0.07,0.03,1.0,10,f3b8f36ceb1a,0.1,3,0.8
11,0.07,0.03,1.0,11,f3b8f36ceb1a,0.1,3,0.8
12,0.07,0.03,1.0,12,f3b8f36ceb1a,0.1,3,0.8
13,0.07,0.03,1.0,13,f3b8f36ceb1a,0.1,3,0.8
0,0.07,0.03,2.0,0,012d3b018a1c,0.1,3,0.8
1,0.07,0.03,11.0,1,012d3b018a1c,0.1,3,0.8
2,0.07,0.03,15.0,2,012d3b018a1c,0.1,3,0.8
3,0.07,0.03,93.0,3,012d3b018a1c,0.1,3,0.8
4,0.07,0.03,228.0,4,012d3b018a1c,0.1,3,0.8
5,0.07,0.03,400.0,5,012d3b018a1c,0.1,3,0.8
6,0.07,0.03,579.0,6,012d3b018a1c,0.1,3,0.8
7,0.07,0.03,725.0,7,012d3b018a1c,0.1,3,0.8
8,0.07,0.03,813.0,8,012d3b018a1c,0.1,3,0.8
9,0.07,0.03,993.0,9,012d3b018a1c,0.1,3,0.8
10,0.07,0.03,1088.0,10,012d3b018a1c,0.1,3,0.8
11,0.07,0.03,1130.0,11,012d3b018a1c,0.1,3,0.8
12,0.07,0.03,1259.0,12,012d3b018a1c,0.1,3,0.8
13,0.07,0.03,1359.0,13,012d3b018a1c,0.1,3,0.8
0,0.07,0.03,3.0,0,675bfbd015a4,0.1,3,0.8
1,0.07,0.03,10.0,1,675bfbd015a4,0.1,3,0.8
2,0.07,0.03,21.0,2,675bfbd015a4,0.1,3,0.8
3,0.07,0.03,73.0,3,675bfbd015a4,0.1,3,0.8
4,0.07,0.03,189.0,4,675bfbd015a4,0.1,3,0.8
5,0.07,0.03,378.0,5,675bfbd015a4,0.1,3,0.8
6,0.07,0.03,580.0,6,675bfbd015a4,0.1,3,0.8
7,0.07,0.03,719.0,7,675bfbd015a4,0.1,3,0.8
8,0.07,0.03,812.0,8,675bfbd015a4,0.1,3,0.8
9,0.07,0.03,1000.0,9,675bfbd015a4,0.1,3,0.8
10,0.07,0.03,1088.0,10,675bfbd015a4,0.1,3,0.8
11,0.07,0.03,1131.0,11,675bfbd015a4,0.1,3,0.8
12,0.07,0.03,1243.0,12,675bfbd015a4,0.1,3,0.8
13,0.07,0.03,1341.0,13,675bfbd015a4,0.1,3,0.8
0,0.07,0.03,8.0,0,ffdc094ea6d4,0.1,3,0.8
1,0.07,0.03,19.0,1,ffdc094ea6d4,0.1,3,0.8
2,0.07,0.03,50.0,2,ffdc094ea6d4,0.1,3,0.8
3,0.07,0.03,111.0,3,ffdc094ea6d4,0.1,3,0.8
4,0.07,0.03,283.0,4,ffdc094ea6d4,0.1,3,0.8
5,0.07,0.03,498.0,5,ffdc094ea6d4,0.1,3,0.8
6,0.07,0.03,687.0,6,ffdc094ea6d4,0.1,3,0.8
7,0.07,0.03,837.0,7,ffdc094ea6d4,0.1,3,0.8
8,0.07,0.03,912.0,8,ffdc094ea6d4,0.1,3,0.8
9,0.07,0.03,1063.0,9,ffdc094ea6d4,0.1,3,0.8
10,0.07,0.03,1141.0,10,ffdc094ea6d4,0.1,3,0.8
11,0.07,0.03,1172.0,11,ffdc094ea6d4,0.1,3,0.8
12,0.07,0.03,1285.0,12,ffdc094ea6d4,0.1,3,0.8
13,0.07,0.03,1371.0,13,ffdc094ea6d4,0.1,3,0.8
0,0.07,0.03,1.0,0,ebb9b72d301d,0.1,3,0.8
1,0.07,0.03,1.0,1,ebb9b72d301d,0.1,3,0.8
2,0.07,0.03,1.0,2,ebb9b72d301d,0.1,3,0.8
3,0.07,0.03,1.0,3,ebb9b72d301d,0.1,3,0.8
4,0.07,0.03,3.0,4,ebb9b72d301d,0.1,3,0.8
5,0.07,0.03,4.0,5,ebb9b72d301d,0.1,3,0.8
6,0.07,0.03,24.0,6,ebb9b72d301d,0.1,3,0.8
7,0.07,0.03,45.0,7,ebb9b72d301d,0.1,3,0.8
8,0.07,0.03,97.0,8,ebb9b72d301d,0.1,3,0.8
9,0.07,0.03,241.0,9,ebb9b72d301d,0.1,3,0.8
10,0.07,0.03,463.0,10,ebb9b72d301d,0.1,3,0.8
11,0.07,0.03,619.0,11,ebb9b72d301d,0.1,3,0.8
12,0.07,0.03,790.0,12,ebb9b72d301d,0.1,3,0.8
13,0.07,0.03,984.0,13,ebb9b72d301d,0.1,3,0.8
0,0.07,0.03,1.0,0,0f6ef22dc220,0.1,3,0.8
1,0.07,0.03,3.0,1,0f6ef22dc220,0.1,3,0.8
2,0.07,0.03,3.0,2,0f6ef22dc220,0.1,3,0.8
3,0.07,0.03,16.0,3,0f6ef22dc220,0.1,3,0.8
4,0.07,0.03,50.0,4,0f6ef22dc220,0.1,3,0.8
5,0.07,0.03,123.0,5,0f6ef22dc220,0.1,3,0.8
6,0.07,0.03,307.0,6,0f6ef22dc220,0.1,3,0.8
7,0.07,0.03,477.0,7,0f6ef22dc220,0.1,3,0.8
8,0.07,0.03,616.0,8,0f6ef22dc220,0.1,3,0.8
9,0.07,0.03,842.0,9,0f6ef22dc220,0.1,3,0.8
10,0.07,0.03,971.0,10,0f6ef22dc220,0.1,3,0.8
11,0.07,0.03,1049.0,11,0f6ef22dc220,0.1,3,0.8
12,0.07,0.03,1192.0,12,0f6ef22dc220,0.1,3,0.8
13,0.07,0.03,1301.0,13,0f6ef22dc220,0.1,3,0.8
0,0.07,0.03,2.0,0,b22af9413749,0.1,3,0.8
1,0.07,0.03,11.0,1,b22af9413749,0.1,3,0.8
2,0.07,0.03,16.0,2,b22af9413749,0.1,3,0.8
3,0.07,0.03,94.0,3,b22af9413749,0.1,3,0.8
4,0.07,0.03,248.0,4,b22af9413749,0.1,3,0.8
5,0.07,0.03,503.0,5,b22af9413749,0.1,3,0.8
6,0.07,0.03,729.0,6,b22af9413749,0.1,3,0.8
7,0.07,0.03,867.0,7,b22af9413749,0.1,3,0.8
8,0.07,0.03,937.0,8,b22af9413749,0.1,3,0.8
9,0.07,0.03,1098.0,9,b22af9413749,0.1,3,0.8
10,0.07,0.03,1167.0,10,b22af9413749,0.1,3,0.8
11,0.07,0.03,1202.0,11,b22af9413749,0.1,3,0.8
12,0.07,0.03,1305.0,12,b22af9413749,0.1,3,0.8
13,0.07,0.03,1391.0,13,b22af9413749,0.1,3,0.8
0,0.07,0.03,5.0,0,01a0123885eb,0.1,3,0.8
1,0.07,0.03,21.0,1,01a0123885eb,0.1,3,0.8
2,0.07,0.03,59.0,2,01a0123885eb,0.1,3,0.8
3,0.07,0.03,193.0,3,01a0123885eb,0.1,3,0.8
4,0.07,0.03,375.0,4,01a0123885eb,0.1,3,0.8
5,0.07,0.03,611.0,5,01a0123885eb,0.1,3,0.8
6,0.07,0.03,814.0,6,01a0123885eb,0.1,3,0.8
7,0.07,0.03,934.0,7,01a0123885eb,0.1,3,0.8
8,0.07,0.03,986.0,8,01a0123885eb,0.1,3,0.8
9,0.07,0.03,1139.0,9,01a0123885eb,0.1,3,0.8
10,0.07,0.03,1202.0,10,01a0123885eb,0.1,3,0.8
11,0.07,0.03,1232.0,11,01a0123885eb,0.1,3,0.8
12,0.07,0.03,1325.0,12,01a0123885eb,0.1,3,0.8
13,0.07,0.03,1404.0,13,01a0123885eb,0.1,3,0.8
0,0.07,0.03,1.0,0,3451d35d093f,0.1,3,0.8
1,0.07,0.03,1.0,1,3451d35d093f,0.1,3,0.8
2,0.07,0.03,1.0,2,3451d35d093f,0.1,3,0.8
3,0.07,0.03,1.0,3,3451d35d093f,0.1,3,0.8
4,0.07,0.03,1.0,4,3451d35d093f,0.1,3,0.8
5,0.07,0.03,1.0,5,3451d35d093f,0.1,3,0.8
6,0.07,0.03,1.0,6,3451d35d093f,0.1,3,0.8
7,0.07,0.03,2.0,7,3451d35d093f,0.1,3,0.8
8,0.07,0.03,2.0,8,3451d35d093f,0.1,3,0.8
9,0.07,0.03,2.0,9,3451d35d093f,0.1,3,0.8
10,0.07,0.03,4.0,10,3451d35d093f,0.1,3,0.8
