Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
5,0.08,0.03,302.0,9148.435987830537,5,231e1795409f,0.1,3,0.8,625
6,0.08,0.03,560.0,12808.044654771567,6,231e1795409f,0.1,3,0.8,625
7,0.08,0.03,674.0,17269.4304413765,7,231e1795409f,0.1,3,0.8,625
8,0.08,0.03,787.0,21495.62677097631,8,231e1795409f,0.1,3,0.8,625
9,0.08,0.03,1025.0,23758.264917685825,9,231e1795409f,0.1,3,0.8,625
10,0.08,0.03,1081.0,24979.460572447268,10,231e1795409f,0.1,3,0.8,625
11,0.08,0.03,1139.0,26494.257908548803,11,231e1795409f,0.1,3,0.8,625
12,0.08,0.03,1326.0,27806.08019441002,12,231e1795409f,0.1,3,0.8,625
13,0.08,0.03,1355.0,28885.33129941705,13,231e1795409f,0.1,3,0.8,625
0,0.08,0.03,8.0,714.3790373655685,0,63803285b8e1,0.1,3,0.8,625
1,0.08,0.03,34.0,2110.162287615752,1,63803285b8e1,0.1,3,0.8,625
2,0.08,0.03,96.0,4585.645471927374,2,63803285b8e1,0.1,3,0.8,625
3,0.08,0.03,281.0,7889.153068513585,3,63803285b8e1,0.1,3,0.8,625
4,0.08,0.03,498.0,11336.170065200497,4,63803285b8e1,0.1,3,0.8,625
5,0.08,0.03,701.0,15116.674472477627,5,63803285b8e1,0.1,3,0.8,625
6,0.08,0.03,897.0,19884.926339522823,6,63803285b8e1,0.1,3,0.8,625
7,0.08,0.03,963.0,22769.62845959205,7,63803285b8e1,0.1,3,0.8,625
8,0.08,0.03,1022.0,24552.350138076577,8,63803285b8e1,0.1,3,0.8,625
9,0.08,0.03,1200.0,25819.292300893183,9,63803285b8e1,0.1,3,0.8,625
10,0.08,0.03,1228.0,26612.846340977816,10,63803285b8e1,0.1,3,0.8,625
11,0.08,0.03,1267.0,27750.93268249707,11,63803285b8e1,0.1,3,0.8,625
12,0.08,0.03,1406.0,28913.849595399344,12,63803285b8e1,0.1,3,0.8,625
13,0.08,0.03,1428.0,30071.9497516736,13,63803285b8e1,0.1,3,0.8,625
0,0.08,0.03,1.0,3.4327983618476283,0,6c1ec2ad4dff,0.1,3,0.8,625
1,0.08,0.03,1.0,3.434365413899625,1,6c1ec2ad4dff,0.1,3,0.8,625
2,0.08,0.03,1.0,3.434482808092087,2,6c1ec2ad4dff,0.1,3,0.8,625
3,0.08,0.03,1.0,3.434492499568353,3,6c1ec2ad4dff,0.1,3,0.8,625
4,0.08,0.03,1.0,3.434493225211304,4,6c1ec2ad4dff,0.1,3,0.8,625
5,0.08,0.03,1.0,3.434493285114355,5,6c1ec2ad4dff,0.1,3,0.8,625
6,0.08,0.03,1.0,3.4344932896315785,6,6c1ec2ad4dff,0.1,3,0.8,625
7,0.08,0.03,1.0,3.4344932899698017,7,6c1ec2ad4dff,0.1,3,0.8,625
8,0.08,0.03,1.0,3.4344932899977225,8,6c1ec2ad4dff,0.1,3,0.8,625
9,0.08,0.03,1.0,3.4344932899998133,9,6c1ec2ad4dff,0.1,3,0.8,625
10,0.08,0.03,1.0,3.4344932899999856,10,6c1ec2ad4dff,0.1,3,0.8,625
11,0.08,0.03,1.0,3.4344932899999976,11,6c1ec2ad4dff,0.1,3,0.8,625
12,0.08,0.03,1.0,3.4344932899999976,12,6c1ec2ad4dff,0.1,3,0.8,625
13,0.08,0.03,1.0,3.4344932899999976,13,6c1ec2ad4dff,0.1,3,0.8,625
0,0.08,0.03,1.0,2.3420919120611896,0,c8fe9f98ea95,0.1,3,0.8,625
1,0.08,0.03,1.0,2.34316106310063,1,c8fe9f98ea95,0.1,3,0.8,625
2,0.08,0.03,1.0,2.34324115751915,2,c8fe9f98ea95,0.1,3,0.8,625
3,0.08,0.03,1.0,2.343247769712989,3,c8fe9f98ea95,0.1,3,0.8,625
4,0.08,0.03,1.0,2.343248264796681,4,c8fe9f98ea95,0.1,3,0.8,625
5,0.08,0.03,1.0,2.3432483056666755,5,c8fe9f98ea95,0.1,3,0.8,625
6,0.08,0.03,1.0,2.3432483087486373,6,c8fe9f98ea95,0.1,3,0.8,625
7,0.08,0.03,1.0,2.3432483089793967,7,c8fe9f98ea95,0.1,3,0.8,625
8,0.08,0.03,1.0,2.3432483089984464,8,c8fe9f98ea95,0.1,3,0.8,625
9,0.08,0.03,1.0,2.343248308999873,9,c8fe9f98ea95,0.1,3,0.8,625
10,0.08,0.03,1.0,2.34324830899999,10,c8fe9f98ea95,0.1,3,0.8,625
11,0.08,0.03,1.0,2.343248308999998,11,c8fe9f98ea95,0.1,3,0.8,625
12,0.08,0.03,1.0,2.343248308999998,12,c8fe9f98ea95,0.1,3,0.8,625
13,0.08,0.03,1.0,2.343248308999998,13,c8fe9f98ea95,0.1,3,0.8,625
0,0.08,0.03,1.0,16.492412914269906,0,dccf69297579,0.1,3,0.8,625
1,0.08,0.03,3.0,24.37183063506869,1,dccf69297579,0.1,3,0.8,625
2,0.08,0.03,3.0,32.48690584328387,2,dccf69297579,0.1,3,0.8,625
3,0.08,0.03,5.0,45.93605001860232,3,dccf69297579,0.1,3,0.8,625
4,0.08,0.03,5.0,49.51894427569785,4,dccf69297579,0.1,3,0.8,625
5,0.08,0.03,5.0,51.82868376350621,5,dccf69297579,0.1,3,0.8,625
6,0.08,0.03,6.0,55.56919219830292,6,dccf69297579,0.1,3,0.8,625
7,0.08,0.03,6.0,58.5094936377012,7,dccf69297579,0.1,3,0.8,625
8,0.08,0.03,6.0,75.77085419360424,8,dccf69297579,0.1,3,0.8,625
9,0.08,0.03,9.0,131.5522673804832,9,dccf69297579,0.1,3,0.8,625
10,0.08,0.03,12.0,310.6529145686713,10,dccf69297579,0.1,3,0.8,625
11,0.08,0.03,25.0,1091.9761852480735,11,dccf69297579,0.1,3,0.8,625
12,0.08,0.03,73.0,2445.875078997071,12,dccf69297579,0.1,3,0.8,625
13,0.08,0.03,128.0,4702.936576913089,13,dccf69297579,0.1,3,0.8,625
0,0.08,0.03,1.0,1.056221643498423,0,ddfba1616217,0.1,3,0.8,625
1,0.08,0.03,1.0,1.0567038024018425,1,ddfba1616217,0.1,3,0.8,625
2,0.08,0.03,1.0,1.0567399228708676,2,ddfba1616217,0.1,3,0.8,625
3,0.08,0.03,1.0,1.0567429047957904,3,ddfba1616217,0.1,3,0.8,625
4,0.08,0.03,1.0,1.0567431280654698,4,ddfba1616217,0.1,3,0.8,625
5,0.08,0.03,1.0,1.056743146496759,5,ddfba1616217,0.1,3,0.8,625
6,0.08,0.03,1.0,1.0567431478866425,6,ddfba1616217,0.1,3,0.8,625
7,0.08,0.03,1.0,1.0567431479907086,7,ddfba1616217,0.1,3,0.8,625
8,0.08,0.03,1.0,1.0567431479992997,8,ddfba1616217,0.1,3,0.8,625
9,0.08,0.03,1.0,1.0567431479999427,9,ddfba1616217,0.1,3,0.8,625
10,0.08,0.03,1.0,1.0567431479999956,10,ddfba1616217,0.1,3,0.8,625
11,0.08,0.03,1.0,1.0567431479999994,11,ddfba1616217,0.1,3,0.8,625
12,0.08,0.03,1.0,1.0567431479999994,12,ddfba1616217,0.1,3,0.8,625
13,0.08,0.03,1.0,1.0567431479999994,13,ddfba1616217,0.1,3,0.8,625
0,0.08,0.03,24.0,403.3759314699664,0,28096b238faf,0.1,3,0.8,625
1,0.08,0.03,39.0,1321.3795825791185,1,28096b238faf,0.1,3,0.8,625
2,0.08,0.03,81.0,3643.8657934971216,2,28096b238faf,0.1,3,0.8,625
3,0.08,0.03,254.0,7353.299516394663,3,28096b238faf,0.1,3,0.8,625
4,0.08,0.03,454.0,12637.61965660301,4,28096b238faf,0.1,3,0.8,625
5,0.08,0.03,704.0,18938.567172328072,5,28096b238faf,0.1,3,0.8,625
6,0.08,0.03,905.0,30426.672072885573,6,28096b238faf,0.1,3,0.8,625
7,0.08,0.03,969.0,38818.80277548036,7,28096b238faf,0.1,3,0.8,625
8,0.08,0.03,1041.0,45703.48570758103,8,28096b238faf,0.1,3,0.8,625
9,0.08,0.03,1223.0,51900.00873886964,9,28096b238faf,0.1,3,0.8,625
10,0.08,0.03,1271.0,54874.7273519497,10,28096b238faf,0.1,3,0.8,625
11,0.08,0.03,1312.0,57622.26019195541,11,28096b238faf,0.1,3,0.8,625
12,0.08,0.03,1463.0,60719.49315644735,12,28096b238faf,0.1,3,0.8,625
13,0.08,0.03,1488.0,62744.52299022493,13,28096b238faf,0.1,3,0.8,625
0,0.08,0.03,1.0,23.899107957968216,0,f0c3e6495605,0.1,3,0.8,625
1,0.08,0.03,5.0,83.29551990917392,1,f0c3e6495605,0.1,3,0.8,625
2,0.08,0.03,10.0,350.8874266948075,2,f0c3e6495605,0.1,3,0.8,625
3,0.08,0.03,39.0,1863.6312436866676,3,f0c3e6495605,0.1,3,0.8,625
4,0.08,0.03,117.0,4575.780082611152,4,f0c3e6495605,0.1,3,0.8,625
5,0.08,0.03,245.0,8685.736456305496,5,f0c3e6495605,0.1,3,0.8,625
6,0.08,0.03,506.0,12784.283949149323,6,f0c3e6495605,0.1,3,0.8,625
7,0.08,0.03,683.0,17439.15509425519,7,f0c3e6495605,0.1,3,0.8,625
8,0.08,0.03,816.0,21817.56761854617,8,f0c3e6495605,0.1,3,0.8,625
9,0.08,0.03,1045.0,23978.007420938076,9,f0c3e6495605,0.1,3,0.8,625
10,0.08,0.03,1094.0,25036.331333629176,10,f0c3e6495605,0.1,3,0.8,625
11,0.08,0.03,1151.0,26412.7947692707,11,f0c3e6495605,0.1,3,0.8,625
12,0.08,0.03,1339.0,27714.915829345864,12,f0c3e6495605,0.1,3,0.8,625
13,0.08,0.03,1366.0,28779.932832609928,13,f0c3e6495605,0.1,3,0.8,625
0,0.08,0.03,2.0,73.18709175746373,0,b7d39cc7592a,0.1,3,0.8,625
1,0.08,0.03,7.0,379.184737859088,1,b7d39cc7592a,0.1,3,0.8,625
2,0.08,0.03,17.0,1496.1645051234357,2,b7d39cc7592a,0.1,3,0.8,625
3,0.08,0.03,77.0,3605.1558314248073,3,b7d39cc7592a,0.1,3,0.8,625
4,0.08,0.03,205.0,6410.359839023762,4,b7d39cc7592a,0.1,3,0.8,625
5,0.08,0.03,427.0,10175.932602402594,5,b7d39cc7592a,0.1,3,0.8,625
6,0.08,0.03,626.0,15251.687220671018,6,b7d39cc7592a,0.1,3,0.8,625
7,0.08,0.03,759.0,19442.525061383283,7,b7d39cc7592a,0.1,3,0.8,625
8,0.08,0.03,849.0,22691.264023562315,8,b7d39cc7592a,0.1,3,0.8,625
9,0.08,0.03,1065.0,24559.447140573084,9,b7d39cc7592a,0.1,3,0.8,625
10,0.08,0.03,1113.0,25585.5040383612,10,b7d39cc7592a,0.1,3,0.8,625
11,0.08,0.03,1172.0,27022.638342431925,11,b7d39cc7592a,0.1,3,0.8,625
12,0.08,0.03,1350.0,28436.97347940044,12,b7d39cc7592a,0.1,3,0.8,625
13,0.08,0.03,1378.0,29706.30317494962,13,b7d39cc7592a,0.1,3,0.8,625
0,0.08,0.03,16.0,1071.7816479413102,0,b9649664bb23,0.1,3,0.8,625
1,0.08,0.03,57.0,2549.2436979851886,1,b9649664bb23,0.1,3,0.8,625
2,0.08,0.03,114.0,5196.869530597507,2,b9649664bb23,0.1,3,0.8,625
3,0.08,0.03,330.0,8902.585868349344,3,b9649664bb23,0.1,3,0.8,625
4,0.08,0.03,556.0,12398.654913678094,4,b9649664bb23,0.1,3,0.8,625
5,0.08,0.03,786.0,16199.848719485452,5,b9649664bb23,0.1,3,0.8,625
6,0.08,0.03,952.0,20926.69183486753,6,b9649664bb23,0.1,3,0.8,625
7,0.08,0.03,1015.0,23397.27026616091,7,b9649664bb23,0.1,3,0.8,625
8,0.08,0.03,1059.0,24843.40860719977,8,b9649664bb23,0.1,3,0.8,625
9,0.08,0.03,1214.0,26036.640044554453,9,b9649664bb23,0.1,3,0.8,625
10,0.08,0.03,1242.0,26814.850134219832,10,b9649664bb23,0.1,3,0.8,625
11,0.08,0.03,1282.0,27936.611537667293,11,b9649664bb23,0.1,3,0.8,625
12,0.08,0.03,1418.0,29098.525475734576,12,b9649664bb23,0.1,3,0.8,625
13,0.08,0.03,1441.0,30275.378176935592,13,b9649664bb23,0.1,3,0.8,625
0,0.08,0.03,1.0,7.725227592969938,0,ed138478d0de,0.1,3,0.8,625
1,0.08,0.03,1.0,7.728754113457202,1,ed138478d0de,0.1,3,0.8,625
2,0.08,0.03,1.0,7.729018299336846,2,ed138478d0de,0.1,3,0.8,625
3,0.08,0.03,1.0,7.729040109199231,3,ed138478d0de,0.1,3,0.8,625
4,0.08,0.03,1.0,7.729041742198421,4,ed138478d0de,0.1,3,0.8,625
5,0.08,0.03,1.0,7.729041877005262,5,ed138478d0de,0.1,3,0.8,625
6,0.08,0.03,1.0,7.729041887170898,6,ed138478d0de,0.1,3,0.8,625
7,0.08,0.03,1.0,7.729041887932042,7,ed138478d0de,0.1,3,0.8,625
8,0.08,0.03,1.0,7.7290418879948755,8,ed138478d0de,0.1,3,0.8,625
9,0.08,0.03,1.0,7.729041887999581,9,ed138478d0de,0.1,3,0.8,625
10,0.08,0.03,1.0,7.729041887999968,10,ed138478d0de,0.1,3,0.8,625
11,0.08,0.03,1.0,7.729041887999995,11,ed138478d0de,0.1,3,0.8,625
12,0.08,0.03,1.0,7.729041887999995,12,ed138478d0de,0.1,3,0.8,625
13,0.08,0.03,1.0,7.729041887999995,13,ed138478d0de,0.1,3,0.8,625
0,0.08,0.03,1.0,14.528054016734496,0,efcb7d92dfe1,0.1,3,0.8,625
1,0.08,0.03,3.0,43.51833073212424,1,efcb7d92dfe1,0.1,3,0.8,625
2,0.08,0.03,3.0,174.35350266472005,2,efcb7d92dfe1,0.1,3,0.8,625
3,0.08,0.03,18.0,734.7428261832932,3,efcb7d92dfe1,0.1,3,0.8,625
4,0.08,0.03,35.0,2175.569794051015,4,efcb7d92dfe1,0.1,3,0.8,625
5,0.08,0.03,103.0,4445.959574546873,5,efcb7d92dfe1,0.1,3,0.8,625
6,0.08,0.03,253.0,7271.473883433954,6,efcb7d92dfe1,0.1,3,0.8,625
7,0.08,0.03,402.0,10334.060312998012,7,efcb7d92dfe1,0.1,3,0.8,625
8,0.08,0.03,569.0,15183.241044772938,8,efcb7d92dfe1,0.1,3,0.8,625
9,0.08,0.03,835.0,19810.929062508774,9,efcb7d92dfe1,0.1,3,0.8,625
10,0.08,0.03,933.0,21925.4960754532,10,efcb7d92dfe1,0.1,3,0.8,625
11,0.08,0.03,1035.0,24234.34534919558,11,efcb7d92dfe1,0.1,3,0.8,625
12,0.08,0.03,1242.0,26452.16673989817,12,efcb7d92dfe1,0.1,3,0.8,625
13,0.08,0.03,1285.0,27685.17096641077,13,efcb7d92dfe1,0.1,3,0.8,625
0,0.08,0.03,1.0,8.651529420770347,0,cea3bd05d426,0.1,3,0.8,625
1,0.08,0.03,1.0,11.285516315015364,1,cea3bd05d426,0.1,3,0.8,625
2,0.08,0.03,1.0,31.55686386002854,2,cea3bd05d426,0.1,3,0.8,625
3,0.08,0.03,6.0,95.62404350306304,3,cea3bd05d426,0.1,3,0.8,625
4,0.08,0.03,6.0,209.1181422393229,4,cea3bd05d426,0.1,3,0.8,625
