,source,dest,weight
0,000725697278,9bae9cdf01e6,2
1,00238fee2b4c,0d0044cacda0,1
2,00238fee2b4c,3eedbbb6b0d7,1
3,00238fee2b4c,af7707c5ea70,2
4,00238fee2b4c,d511b5d46902,1
5,00238fee2b4c,d6d8fb976838,1
6,004cdd85f55a,48c91416b553,1
7,00c08d89fea3,0d8b669dcf9d,1
8,00c08d89fea3,19f97769ca89,1
9,00c08d89fea3,213f6505c6c2,1
10,00c08d89fea3,41fd8bb687b8,1
11,00c08d89fea3,5e8a21ead848,1
12,00e005b31402,f0143c0f7af3,2
13,00e2c609b433,0d9a5484f79e,1
14,00e2c609b433,116a45daf8aa,1
15,00e2c609b433,184eb9d5f7fd,1
16,00e2c609b433,213f6505c6c2,5
17,00e2c609b433,231c40e62014,1
18,00e2c609b433,35a6c93873ac,1
19,00e2c609b433,395e09e946b0,2
20,00e2c609b433,54e8c1fe7150,1
21,00e2c609b433,5e8a21ead848,2
22,00e2c609b433,64cd896af0df,1
23,00e2c609b433,817944c9c685,4
24,00e2c609b433,872665d2d4a0,1
25,00e2c609b433,bcce03f625c2,2
26,00e2c609b433,c94bd2c3aa6c,1
27,00e2c609b433,d0c9e369bee2,6
28,00e2c609b433,d15eff82084c,2
29,00e2c609b433,d88439bd85ec,1
30,00e2c609b433,dd94c511abc3,1
31,00e2c609b433,e7f10ccd4852,1
32,00e2c609b433,e922a9e73b66,1
33,00e2c609b433,fd4d18552b5b,2
34,010623832618,94bb4bd3b73a,1
35,010e171b58be,110e600290fd,1
36,012d3b018a1c,260d66f31596,1
37,012d3b018a1c,e02d97fbe3b7,4
38,0192f0f7cc19,54adb0945bc8,1
39,0192f0f7cc19,793de180d506,1
40,0193d52e5b14,e8bd7957a6e9,1
41,01a0123885eb,0c957eac7ed9,1
42,01a0123885eb,54e8c1fe7150,1
43,01a0123885eb,66a7a5807c31,1
44,01a0123885eb,6bcaea988250,1
45,01a0123885eb,7d17cf0b2ec8,1
46,01a0123885eb,9a4a675dbeb6,1
47,01a0123885eb,b6afb7afe424,2
48,01a0123885eb,f53d104a0391,1
49,01ee1fa3f6f6,23e5ea1e37f7,1
50,020d5ea1a53e,2f30ec3c0bf3,1
51,020d5ea1a53e,3b8a97e5d597,2
52,020d5ea1a53e,600e5730eb50,2
53,020d5ea1a53e,7529596f2fed,1
54,020d5ea1a53e,8ba5ef4e282b,1
55,020d5ea1a53e,e920f60d11b5,1
56,020d5ea1a53e,ec28638a4180,1
57,025b715449fe,9e67a4751728,2
58,025b715449fe,a4b6a6e952de,1
59,025b715449fe,b46ebd04f531,1
60,025b715449fe,bbb959eb0800,2
61,0287240ca63d,137ea7d0d28a,1
62,02ef16a6c394,476d2c8a91fa,1
63,02ef16a6c394,72d9dd541c4f,1
64,02ef16a6c394,74ae3cb7f692,1
65,02ef16a6c394,b92ee2af0e07,1
66,02ef16a6c394,c71b6b1b32c8,1
67,02ef16a6c394,cec09b6f87a7,1
68,02ef16a6c394,d943da81dc4e,1
69,02ef16a6c394,fecb203bd177,1
70,02ef16a6c394,ffdc094ea6d4,1
71,0320528adcce,13124c098d9a,1
72,0320528adcce,36c1cc2f9d70,1
73,0320528adcce,466aeceddec4,1
74,0320528adcce,b659b0bc6172,1
75,0320528adcce,c6bf1113e45c,1
76,0320528adcce,fe9867174ca9,4
77,03214801f88d,cff48f47e179,1
78,0345fe1ba399,0346004123b6,1
79,0345fe1ba399,8d21f0e45431,1
80,0345fe1ba399,b0d7e72c6d81,1
81,0345fe1ba399,cda7fa77ee13,1
82,0346004123b6,13124c098d9a,1
83,0346004123b6,2ecda2b2aa5b,1
84,0346004123b6,557f5337d3e6,1
85,0346004123b6,6d2d1507c165,1
86,0346004123b6,8aaa550d7fa1,1
87,0346004123b6,b2cc86ae48fd,1
88,0346004123b6,b6316aa9a0bf,1
89,0346004123b6,bde25795dea6,1
90,0346004123b6,c6bf1113e45c,1
91,0346004123b6,d1c9560f900b,1
92,0346004123b6,fdd5ec817699,1
93,039c20eb5f8b,085b2a38876e,1
94,039c20eb5f8b,11c9978abd32,2
95,039c20eb5f8b,1a3c9e9512ea,1
96,039c20eb5f8b,1a6b8d0b17c1,2
97,039c20eb5f8b,8e54c1a1f0c1,1
98,039c20eb5f8b,a42e815c58f3,9
99,039c20eb5f8b,c2ab60ea3e17,1
100,039c20eb5f8b,c7e17652d255,1
101,03f56b786b6c,161b0dc38c31,1
102,04150f2d5883,8e5efe42177f,1
103,0431d3bd4125,4f112085958d,2
104,04426339e55d,0e3803a9c736,1
105,04426339e55d,4459b2909cef,1
106,04426339e55d,995d9379aaac,1
107,04bd4bb8b787,88198827bccc,1
108,04bd4bb8b787,a38280500952,1
109,04bd4bb8b787,c71b6b1b32c8,1
110,04bd4bb8b787,e922a9e73b66,1
111,04bf2867f7e7,10534d4e7a9b,3
112,04bf2867f7e7,1813d3440861,1
113,04bf2867f7e7,49a2c59db906,2
114,04bf2867f7e7,b7108b4935fb,2
115,0604cd3138fe,085b2a38876e,1
116,0604cd3138fe,2ecda2b2aa5b,1
117,0604cd3138fe,37497c2c7134,1
118,0604cd3138fe,5344c4110f48,13
119,0604cd3138fe,7182dd431b5c,4
120,0604cd3138fe,ad508fd81a92,1
121,0604cd3138fe,db3defda18fa,2
122,0604cd3138fe,f138665c5aa6,2
123,0622caefe523,13124c098d9a,1
124,0622caefe523,9b46e28a085a,1
125,0622caefe523,a42e815c58f3,2
126,0622caefe523,a6be835812fa,8
127,0622caefe523,cbd02d97b073,1
128,0632dc7a43b1,10534d4e7a9b,4
129,0632dc7a43b1,1813d3440861,1
130,0632dc7a43b1,34d46bd57a61,1
131,0632dc7a43b1,49a2c59db906,1
132,0632dc7a43b1,b7108b4935fb,1
133,0632dc7a43b1,fa5e7e54261e,1
134,0632dc7a43b1,fe06da6e1e03,1
135,065a576c230e,be20b70aab71,1
136,06954b8a7f8d,89d6aac5e0b9,1
137,069d0311d731,80f169e57e94,3
138,06dd1d6744a8,142e477ce259,1
139,07408b004e16,0d8b669dcf9d,1
140,07408b004e16,ae43b81d5073,1
141,07694e757e99,7d10e92d7749,1
142,07816df1ab98,82fdfad9a9f0,1
