,source,dest,weight
0,00238fee2b4c,0d9a5484f79e,1
1,00238fee2b4c,3e6ea6702421,1
2,00238fee2b4c,3eedbbb6b0d7,1
3,00238fee2b4c,af7707c5ea70,2
4,00238fee2b4c,b6a55cb253eb,1
5,00ad7e2e78ec,39e5b4830d4d,1
6,00c08d89fea3,6a3c33a09bee,1
7,00e2c609b433,033f42d8a29e,2
8,00e2c609b433,213f6505c6c2,1
9,00e2c609b433,61ebc0c467ee,1
10,00e2c609b433,6b25fee98c05,1
11,00e2c609b433,817944c9c685,1
12,00e2c609b433,ecc4ba55675b,1
13,010e171b58be,af956f342c1c,1
14,012d3b018a1c,1f497cde557c,1
15,012d3b018a1c,2ecfd589ba4a,1
16,012d3b018a1c,48ae093b8fec,1
17,012d3b018a1c,5a96962eec8e,1
18,012d3b018a1c,61bb27d39843,1
19,012d3b018a1c,63889351c5e1,1
20,012d3b018a1c,7d802a5c57e7,1
21,012d3b018a1c,f869fefc282b,1
22,0192f0f7cc19,07694e757e99,1
23,0192f0f7cc19,7243ae377c21,1
24,0192f0f7cc19,a954dd148bce,1
25,01a0123885eb,cccfc2377e10,1
26,01ee1fa3f6f6,34d46bd57a61,1
27,01ee1fa3f6f6,b68c4830cc9e,2
28,020d5ea1a53e,1f1708e153fd,1
29,020d5ea1a53e,6a3bc2a7df56,1
30,020d5ea1a53e,798ddaf4f9cb,3
31,020d5ea1a53e,c9eb29fe21b7,2
32,020d5ea1a53e,d182b2e2a818,1
33,023a5d902d01,e1fee01ee26d,1
34,0319f714167d,240b560f8226,1
35,0319f714167d,c58a755918d6,1
36,0320528adcce,512980bc62c1,1
37,0320528adcce,ad508fd81a92,1
38,0320528adcce,bde25795dea6,1
39,03214801f88d,2451db5f3c6f,1
40,033f42d8a29e,00e2c609b433,2
41,033f42d8a29e,213f6505c6c2,1
42,033f42d8a29e,35a6c93873ac,2
43,033f42d8a29e,fd4d18552b5b,1
44,03578baf2d14,e7bd0f718c97,1
45,039c20eb5f8b,9b46e28a085a,2
46,039c20eb5f8b,a42e815c58f3,4
47,039c20eb5f8b,c2ab60ea3e17,1
48,04150f2d5883,179cf283f9f5,1
49,04150f2d5883,3802a8d0f0fd,2
50,04150f2d5883,8617f3728f3c,1
51,04150f2d5883,97a6d21df7c5,1
52,04426339e55d,0e8cfbcc6331,1
53,04426339e55d,682b73e4ac26,1
54,04426339e55d,793de180d506,1
55,04426339e55d,9cb6b1104c25,1
56,04426339e55d,acfee9c442be,1
57,04426339e55d,bbdd91b14d4e,1
58,04426339e55d,cd9b7833bc32,1
59,04bd4bb8b787,b38c5c5e7430,1
60,04bf2867f7e7,10534d4e7a9b,2
61,04bf2867f7e7,1813d3440861,1
62,04bf2867f7e7,23e5ea1e37f7,1
63,04bf2867f7e7,900149c65f11,1
64,05d6627dfb3d,4f5c27f8f068,1
65,05efc2642012,913283e66a2c,1
66,0604cd3138fe,7182dd431b5c,1
67,0622caefe523,085b2a38876e,3
68,0622caefe523,11c9978abd32,3
69,0622caefe523,88d1b784dd23,1
70,0622caefe523,9ed614721c31,4
71,0622caefe523,a02a7093edbc,1
72,0622caefe523,a42e815c58f3,9
73,0622caefe523,c9b65aa4356d,1
74,0632dc7a43b1,04bf2867f7e7,1
75,0632dc7a43b1,10534d4e7a9b,5
76,0632dc7a43b1,960d4024a41d,2
77,065a576c230e,a6c640023cd6,1
78,065a576c230e,d61b2487b48b,1
79,06954b8a7f8d,023a5d902d01,1
80,069d0311d731,80f169e57e94,1
81,06f6cc456bb1,6676c20b3c8e,1
82,06f6cc456bb1,adb9f7d3adbe,1
83,07694e757e99,9af172ed1396,1
84,07694e757e99,aee336a1d75a,1
85,07694e757e99,b644c82ec98a,1
86,07816df1ab98,377dce655c6c,1
87,07816df1ab98,ee8621197232,2
88,07c903ce6338,10973be83a0f,1
89,07e1906a4c41,d74c216d2abf,1
90,07e764fd799c,2a96810f857c,1
91,085b2a38876e,2a13a24897aa,2
92,085b2a38876e,a42e815c58f3,7
93,0886327340b1,a56b54e1c593,7
94,0892c6a7aab4,19f97769ca89,1
95,08b5b23ea880,499254fc85e1,1
96,0970cc3beac8,80408427bf40,2
97,0970cc3beac8,f45e340da741,1
98,0970cc3beac8,fdb5d0d7ade5,1
99,09b8329bd8e8,1c17de6f9602,1
100,09b8329bd8e8,3490a8da189c,1
101,09b8329bd8e8,6b25fee98c05,1
102,09b8329bd8e8,cc4b353fbba9,1
103,0a46fa622c55,294cd5558aed,1
104,0a572528c695,04426339e55d,1
105,0ae1f16981b6,36c1cc2f9d70,1
106,0ae1f16981b6,6c6552274c36,1
107,0ae1f16981b6,b9cc85845b21,1
108,0b35b06a2277,96dfdb0e696f,1
109,0b35b06a2277,9a72540b319a,1
110,0b59f34f597a,527fda157ed0,1
111,0b59f34f597a,59be4ffadea6,1
112,0b59f34f597a,6777d66cdceb,1
113,0b59f34f597a,cea3bd05d426,1
114,0b59f34f597a,f3b8f36ceb1a,1
115,0b7c17df5c93,1a3c9e9512ea,1
116,0b7c17df5c93,2411bc00212d,1
117,0b7c17df5c93,2a96810f857c,7
118,0b7c17df5c93,b10fd0da0efc,5
119,0baf124b9c5e,2e0efa10d4b6,1
120,0baf124b9c5e,cc41d80b1697,1
121,0baf124b9c5e,e801fdfd3b13,1
122,0bb298c1fc13,1c40b7658984,1
123,0bb298c1fc13,b8a3a094fb6d,1
124,0bd093ecb687,e83de2a50225,1
125,0bf85f8f318b,3f7d91959faa,1
126,0bf85f8f318b,9435e5349e58,1
127,0bfefda5d962,73ad46f67b09,1
128,0bfefda5d962,98b754af76c6,1
129,0bfefda5d962,bd3a48f2c5f7,2
130,0c0a866d236e,2210083ac9e0,2
131,0c0a866d236e,9488401a6b5c,1
132,0c0a866d236e,9c37e7118d74,3
133,0c0a866d236e,c1c182347e49,1
134,0c10a888d247,900ec63917ba,1
135,0c49468f854e,8effbbe6aa35,1
136,0c957eac7ed9,51e681141116,2
137,0c957eac7ed9,f169433b549d,2
138,0d0044cacda0,00e2c609b433,2
139,0d0044cacda0,0d9a5484f79e,3
140,0d0044cacda0,20a0b846a834,1
141,0d0044cacda0,2b6835698ec8,1
142,0d0044cacda0,36cf3dcb5970,1
143,0d0044cacda0,6ad700bedd83,2
144,0d0044cacda0,6b25fee98c05,1
