,source,dest,weight
0,000725697278,9bae9cdf01e6,3
1,004cdd85f55a,42bfe80fd854,1
2,00ad7e2e78ec,dd19891832ea,1
3,00c08d89fea3,d0c9e369bee2,1
4,00c08d89fea3,e7f10ccd4852,1
5,00cc489974e2,a548d201d69c,1
6,00e005b31402,51f380012e3d,1
7,00e005b31402,9815d856f72a,1
8,00e2c609b433,00c08d89fea3,1
9,00e2c609b433,0d9a5484f79e,1
10,00e2c609b433,213f6505c6c2,7
11,00e2c609b433,34a221bb96e2,1
12,00e2c609b433,35444bace328,2
13,00e2c609b433,5e8a21ead848,1
14,00e2c609b433,b95ca3eac805,1
15,00e2c609b433,d0c9e369bee2,7
16,00e2c609b433,e7f10ccd4852,11
17,00e2c609b433,ecc4ba55675b,6
18,012d3b018a1c,483aab8b1f38,1
19,012d3b018a1c,7121c17f02e3,1
20,012d3b018a1c,7243ae377c21,1
21,012d3b018a1c,78168d2921f8,1
22,012d3b018a1c,b175a0050290,1
23,014e9fb03ec3,6c16cc05218d,1
24,017ae987199a,483aab8b1f38,1
25,0192f0f7cc19,42bfe80fd854,1
26,0192f0f7cc19,4a340903a906,1
27,0193d52e5b14,b44afbe7df2f,1
28,01a0123885eb,183b7379e449,1
29,01a0123885eb,527fda157ed0,1
30,01ee1fa3f6f6,38307094d613,1
31,01ee1fa3f6f6,fe06da6e1e03,1
32,020d5ea1a53e,2f30ec3c0bf3,1
33,020d5ea1a53e,3b8a97e5d597,1
34,020d5ea1a53e,c9eb29fe21b7,1
35,020d5ea1a53e,d182b2e2a818,1
36,025b715449fe,9e67a4751728,2
37,025b715449fe,d41acbe58a7c,2
38,0319f714167d,1c17de6f9602,1
39,0320528adcce,3b8321fe7f0e,1
40,0320528adcce,9ed614721c31,2
41,0320528adcce,a02a7093edbc,1
42,0320528adcce,c6bf1113e45c,2
43,0320528adcce,e964bfee919e,1
44,0320528adcce,fe9867174ca9,5
45,039c20eb5f8b,1a6b8d0b17c1,1
46,039c20eb5f8b,a42e815c58f3,2
47,03f56b786b6c,b570c892f704,1
48,04150f2d5883,179cf283f9f5,1
49,04150f2d5883,386870509dc7,1
50,04150f2d5883,3eedbbb6b0d7,1
51,04150f2d5883,6c99cbaa2778,1
52,04150f2d5883,900149c65f11,1
53,0431d3bd4125,4f112085958d,4
54,04426339e55d,0e3803a9c736,1
55,04426339e55d,2754f6e1f004,1
56,04426339e55d,294cd5558aed,1
57,04426339e55d,453afb3d310d,1
58,04426339e55d,483aab8b1f38,2
59,04426339e55d,6a508b2eca69,1
60,04426339e55d,d42ed19c0d9c,2
61,04bf2867f7e7,0632dc7a43b1,1
62,04bf2867f7e7,10534d4e7a9b,2
63,04bf2867f7e7,1813d3440861,6
64,04bf2867f7e7,1c196870d209,1
65,04bf2867f7e7,23e5ea1e37f7,3
66,04bf2867f7e7,399bf708025f,1
67,04bf2867f7e7,47b19f8bd140,3
68,04bf2867f7e7,b68c4830cc9e,2
69,04bf2867f7e7,c6ab41a0b97a,1
70,04bf2867f7e7,cfa861ad68d5,1
71,0572f0f48c9d,6ebfbaa109e2,1
72,0604cd3138fe,5344c4110f48,4
73,0604cd3138fe,7182dd431b5c,7
74,0604cd3138fe,f138665c5aa6,2
75,0622caefe523,88d1b784dd23,1
76,0622caefe523,a6be835812fa,2
77,0632dc7a43b1,10534d4e7a9b,2
78,0632dc7a43b1,23e5ea1e37f7,1
79,0632dc7a43b1,34d46bd57a61,2
80,0632dc7a43b1,47b19f8bd140,2
81,0632dc7a43b1,b7108b4935fb,1
82,065a576c230e,19f97769ca89,1
83,06954b8a7f8d,f87d55b553de,1
84,06f6cc456bb1,0f2cce1aa7f0,2
85,06f6cc456bb1,89c5b40d9fba,1
86,0706a96a82ba,4bbcec8e8147,2
87,073a8f81f495,0d3f2f1576ca,1
88,07a7458399be,a40c943151f1,1
89,07e1906a4c41,90bbc9533a02,1
90,07e1906a4c41,c6f5c46f9e3d,1
91,085b2a38876e,0622caefe523,1
92,085b2a38876e,3b8321fe7f0e,2
93,085b2a38876e,549a2fac47d7,1
94,085b2a38876e,88d1b784dd23,2
95,085b2a38876e,a02a7093edbc,2
96,085b2a38876e,a42e815c58f3,1
97,085b2a38876e,b28a999c0fba,2
98,085b2a38876e,b2cc86ae48fd,1
99,085b2a38876e,b659b0bc6172,1
100,085b2a38876e,c2ab60ea3e17,1
101,087741e65b10,91f0092e4068,1
102,0886327340b1,64cd896af0df,1
103,0886327340b1,6881f2b0b609,1
104,0886327340b1,7850e83feab6,2
105,0886327340b1,8f9513f7e773,1
106,0886327340b1,bedc725da6f5,1
107,0892c6a7aab4,19f97769ca89,1
