,source,dest,weight
0,00238fee2b4c,3eedbbb6b0d7,3
1,00238fee2b4c,418001574db2,3
2,00238fee2b4c,af7707c5ea70,1
3,00238fee2b4c,cf74ccd1faf1,1
4,00238fee2b4c,e3e18f8d188c,1
5,004cdd85f55a,0d9a5484f79e,2
6,00c08d89fea3,00e2c609b433,1
7,00c08d89fea3,817944c9c685,1
8,00e2c609b433,033f42d8a29e,5
9,00e2c609b433,35444bace328,2
10,00e2c609b433,3bd625f07792,1
11,00e2c609b433,d0c9e369bee2,2
12,00e2c609b433,d15eff82084c,8
13,010e171b58be,c3aab9310a31,1
14,012d3b018a1c,e0688b1a2f32,1
15,01a0123885eb,66a7a5807c31,1
16,01a0123885eb,907bdcbc11fe,2
17,01a0123885eb,9a4a675dbeb6,1
18,01ee1fa3f6f6,c6ab41a0b97a,1
19,020d5ea1a53e,1f1708e153fd,1
20,020d5ea1a53e,2f30ec3c0bf3,2
21,020d5ea1a53e,798ddaf4f9cb,2
22,02b375a0bd0e,940dab8a96bb,1
23,0320528adcce,0d9a5484f79e,1
24,0320528adcce,ae89ce58d543,1
25,0320528adcce,fe9867174ca9,1
26,033f42d8a29e,00e2c609b433,4
27,033f42d8a29e,213f6505c6c2,1
28,033f42d8a29e,d15eff82084c,3
29,033f42d8a29e,ecc4ba55675b,2
30,039c20eb5f8b,0622caefe523,3
31,039c20eb5f8b,085b2a38876e,4
32,039c20eb5f8b,11c9978abd32,12
33,039c20eb5f8b,549a2fac47d7,2
34,039c20eb5f8b,5fa6388d5e22,2
35,039c20eb5f8b,a42e815c58f3,21
36,039c20eb5f8b,a6be835812fa,1
37,039c20eb5f8b,b2cc86ae48fd,1
38,04150f2d5883,3802a8d0f0fd,1
39,04150f2d5883,386870509dc7,1
40,04150f2d5883,e31aade2d1ae,1
41,04426339e55d,1863b0b035e5,1
42,04426339e55d,294cd5558aed,1
43,04426339e55d,bcce03f625c2,1
44,04426339e55d,d42ed19c0d9c,3
45,04426339e55d,d66518132f75,1
46,04426339e55d,e25ecda54a75,1
47,04bd4bb8b787,544c2da37618,1
48,04bd4bb8b787,6a287a1078c0,1
49,04bd4bb8b787,f3f3635203fd,1
50,04bf2867f7e7,1813d3440861,1
51,04bf2867f7e7,2521ef9e54ff,2
52,04bf2867f7e7,34d46bd57a61,1
53,04bf2867f7e7,48090555853d,5
54,04bf2867f7e7,6f1f5bf42259,1
55,04bf2867f7e7,b68c4830cc9e,1
56,04bf2867f7e7,fa5e7e54261e,1
57,0604cd3138fe,3b8321fe7f0e,1
58,0604cd3138fe,5344c4110f48,1
59,0604cd3138fe,549a2fac47d7,1
60,0604cd3138fe,7182dd431b5c,4
61,0604cd3138fe,b2cc86ae48fd,1
62,0604cd3138fe,c2ab60ea3e17,2
63,0622caefe523,039c20eb5f8b,2
64,0622caefe523,11c9978abd32,13
65,0622caefe523,a42e815c58f3,14
66,0622caefe523,a6be835812fa,6
67,0622caefe523,fe9867174ca9,1
68,0632dc7a43b1,10534d4e7a9b,9
69,0632dc7a43b1,23e5ea1e37f7,3
70,0632dc7a43b1,6a802d54681c,1
71,0632dc7a43b1,fa5e7e54261e,2
72,065a576c230e,19f97769ca89,1
73,06f6cc456bb1,592d6a5d1bf8,1
74,06f6cc456bb1,5c64a76f031b,1
75,06f6cc456bb1,fa0cb0b93e1b,1
76,085b2a38876e,039c20eb5f8b,1
77,085b2a38876e,0622caefe523,5
78,085b2a38876e,11c9978abd32,9
79,085b2a38876e,549a2fac47d7,1
80,085b2a38876e,a42e815c58f3,15
81,085b2a38876e,af773452206f,1
82,085b2a38876e,c2ab60ea3e17,2
83,087741e65b10,af8aaa6ab480,1
84,0892c6a7aab4,62132bfbcd57,1
85,08b5b23ea880,23e8b0175874,1
86,08b5b23ea880,ae89ce58d543,1
87,08b5b23ea880,ca0ac34440ba,1
88,09b8329bd8e8,3f7d91959faa,2
89,09b8329bd8e8,9bcb773f9580,1
90,0ae1f16981b6,6c10b76d1675,1
91,0ae1f16981b6,b103b4b46639,1
92,0b59f34f597a,0fcfb0d3bee2,1
93,0b7c17df5c93,2411bc00212d,4
94,0b7c17df5c93,2a96810f857c,3
95,0b7c17df5c93,445553f40763,1
96,0b7c17df5c93,5485ec644342,1
97,0b7c17df5c93,b10fd0da0efc,3
98,0b7c17df5c93,cee51a537b73,1
99,0b7c17df5c93,d1069877e710,3
100,0bb298c1fc13,42bfe80fd854,5
101,0bb298c1fc13,8cdba996be62,1
102,0c0a866d236e,177a803c89cf,1
103,0c0a866d236e,2210083ac9e0,1
104,0c0a866d236e,6d8baaaff9a8,1
105,0c0a866d236e,9c37e7118d74,4
106,0c0a866d236e,dcef788d05b6,1
107,0c0a866d236e,fed3b43e7d3e,3
108,0c957eac7ed9,0d9a5484f79e,1
109,0c957eac7ed9,4332cd76590d,1
110,0d0044cacda0,0d9a5484f79e,1
111,0d0044cacda0,6ad700bedd83,2
112,0d6f9709edae,6bcaea988250,1
113,0d9a5484f79e,0c957eac7ed9,1
114,0d9a5484f79e,0d0044cacda0,1
115,0d9a5484f79e,3d22c86ba2c9,1
116,0d9a5484f79e,6ad700bedd83,5
117,0d9a5484f79e,97782f82720e,4
118,0df4bf175294,2411bc00212d,2
119,0e1a5a785140,5119b118f91d,1
120,0e1a5a785140,bb0a6ed87fd9,1
121,0e1a5a785140,c2de8de25d44,1
122,0e1a5a785140,c6f5c46f9e3d,1
123,0e3803a9c736,04426339e55d,1
124,0e3803a9c736,682b73e4ac26,2
125,0e51b8c46864,7d55d6c62061,1
126,0e51b8c46864,d02af9b90375,1
127,0e5275f34e63,29938b66ee9c,1
128,0e8612e70523,8ba5ef4e282b,1
129,0e8612e70523,979ee4d48a6d,1
130,0e8612e70523,9a2d94742295,2
131,0e8612e70523,a0b57f287242,1
132,0e8cfbcc6331,63803285b8e1,1
133,0e8cfbcc6331,682b73e4ac26,2
134,0e8cfbcc6331,97782f82720e,2
135,0f31c318c80a,ae89ce58d543,1
136,0f31c318c80a,bcce03f625c2,1
137,0f6ef22dc220,a20a2b7bb084,1
138,0f8bd7a29232,13124c098d9a,1
139,0f8bd7a29232,2a13a24897aa,1
140,0f8bd7a29232,2defec47c201,1
141,0f8bd7a29232,7fb8baac6d4d,1
142,0f8bd7a29232,8d21f0e45431,1
143,0f8bd7a29232,900ec63917ba,1
144,0f8bd7a29232,b0d7e72c6d81,1
145,1010859799ff,00e2c609b433,1
146,1010859799ff,373a4a16eaf9,1
147,1010859799ff,3dfcb2607ca7,1
148,1010859799ff,a4231df40681,1
149,1010859799ff,ae89ce58d543,1
150,10534d4e7a9b,0632dc7a43b1,5
151,10534d4e7a9b,1813d3440861,2
152,10534d4e7a9b,1c196870d209,1
153,10534d4e7a9b,23e5ea1e37f7,3
154,10534d4e7a9b,399bf708025f,1
155,10534d4e7a9b,47b19f8bd140,7
156,10534d4e7a9b,49a2c59db906,1
157,10534d4e7a9b,b68c4830cc9e,2
158,10534d4e7a9b,cfa861ad68d5,2
159,10534d4e7a9b,fa5e7e54261e,3
160,10973be83a0f,63803285b8e1,2
161,10973be83a0f,f169433b549d,1
162,10bb64fa1d28,36c1cc2f9d70,4
163,10bb64fa1d28,bde25795dea6,1
164,10bb64fa1d28,e67c2b4f0c8f,4
165,110e600290fd,301b928b2a48,1
166,110e600290fd,3cb5dde9e392,1
167,110e600290fd,4132596292ae,4
168,110e600290fd,9f9093973314,1
169,110e600290fd,c3aab9310a31,2
170,110e600290fd,d04adebdef02,1
171,1110ad464b46,194409ffe6a5,1
172,1110ad464b46,77f073880db5,3
173,1110ad464b46,7ac9f0e12937,1
174,1110ad464b46,961cecb58184,4
175,112a779faa0d,470ff68ed3dc,1
176,11c9978abd32,039c20eb5f8b,18
177,11c9978abd32,0622caefe523,10
178,11c9978abd32,085b2a38876e,9
179,11c9978abd32,549a2fac47d7,1
180,11c9978abd32,a42e815c58f3,35
181,11c9978abd32,a6be835812fa,7
182,11c9978abd32,ad508fd81a92,5
183,11c9978abd32,b28a999c0fba,1
184,11c9978abd32,b2cc86ae48fd,1
185,11c9978abd32,c2ab60ea3e17,2
186,11d19c4e9980,315c63791078,1
187,11d19c4e9980,fecb203bd177,1
188,11dcec3421c7,f3f3635203fd,1
189,11fc9a680f21,303e652fb5d5,1
190,11fc9a680f21,5a5f74751d75,1
191,11fc9a680f21,b103b4b46639,1
192,12007f07fca5,06f6cc456bb1,2
193,12007f07fca5,6676c20b3c8e,1
194,1242b9443650,9a72540b319a,1
195,124640bf2792,c6f5c46f9e3d,1
196,130fb9040d57,6114169e6436,3
197,13124c098d9a,00e2c609b433,1
198,13124c098d9a,11fc9a680f21,1
199,13124c098d9a,a83a9779a29c,1
200,13124c098d9a,b103b4b46639,1
201,13124c098d9a,ba2d97232907,1
202,137ea7d0d28a,ba733a2bc3ef,1
203,140bef944914,1e392e468e57,1
204,141dc5ae59a8,0e5275f34e63,1
205,154d72ced791,363341185eb0,1
206,156a414d5f4f,020d5ea1a53e,1
207,156a414d5f4f,d02af9b90375,1
208,156a414d5f4f,f138448f1a22,1
209,15add4a25884,bc25ecd3c749,1
210,15c98351e90e,2539b1fe79ac,1
211,15e922d2d8a0,85987b1ac4d7,1
212,1615dc1e029e,becb10632805,1
213,169a495eb426,8b852b0b30d4,1
214,16f5fa5ce97e,dccf69297579,1
215,174276bb19cc,36c1cc2f9d70,1
216,177a803c89cf,6d8baaaff9a8,1
217,177a803c89cf,fed3b43e7d3e,2
218,179cf283f9f5,23e8b0175874,1
219,179cf283f9f5,38efe5e64041,1
220,179cf283f9f5,900149c65f11,1
221,1813d3440861,0632dc7a43b1,1
222,1813d3440861,10534d4e7a9b,3
223,1813d3440861,23e5ea1e37f7,5
224,1813d3440861,2521ef9e54ff,1
225,1813d3440861,47b19f8bd140,1
226,1813d3440861,91b8ade6fa60,1
227,1813d3440861,cfa861ad68d5,1
228,1863b0b035e5,0e3803a9c736,1
229,1863b0b035e5,682b73e4ac26,1
230,18fb42c6b3e2,3b8321fe7f0e,5
231,18fb42c6b3e2,7182dd431b5c,1
232,18fb42c6b3e2,ad508fd81a92,1
233,18fb42c6b3e2,ba2d97232907,1
234,19439c8fbdeb,37497c2c7134,1
235,19439c8fbdeb,3b8321fe7f0e,9
236,19439c8fbdeb,c2ab60ea3e17,2
237,194409ffe6a5,1110ad464b46,1
238,194409ffe6a5,77f073880db5,1
239,194409ffe6a5,961cecb58184,2
240,19f97769ca89,2a00d0014618,1
241,19f97769ca89,3d22c86ba2c9,1
242,19f97769ca89,437c496b1e80,1
243,19f97769ca89,4fe7e6f1705d,1
244,19f97769ca89,73410b280868,1
245,19f97769ca89,af956f342c1c,1
246,19febac2c341,97a6d21df7c5,1
247,1a3c9e9512ea,0f8bd7a29232,1
248,1a3c9e9512ea,26e2a5ca39aa,10
249,1a3c9e9512ea,2a13a24897aa,1
250,1a3c9e9512ea,505a0744d613,1
251,1a3c9e9512ea,5485ec644342,1
252,1a3c9e9512ea,7cffec5b2779,3
253,1a3c9e9512ea,8a1d282fbc62,2
254,1a3c9e9512ea,9160bec81d69,6
255,1a3c9e9512ea,a4286709e555,2
256,1a3c9e9512ea,b659b0bc6172,5
257,1a3c9e9512ea,c2b38d78fe58,3
258,1a3c9e9512ea,dba8d675d13a,6
259,1a3c9e9512ea,e969edf3b34e,1
260,1a3c9e9512ea,fdd5ec817699,1
261,1a3c9e9512ea,fecb203bd177,3
