,source,dest,weight
0,00238fee2b4c,1ccb8d961c15,1
1,00238fee2b4c,418001574db2,1
2,00238fee2b4c,af7707c5ea70,2
3,00238fee2b4c,b870082ba75d,1
4,00238fee2b4c,e0688b1a2f32,1
5,004cdd85f55a,476d2c8a91fa,1
6,004cdd85f55a,bae73c074541,1
7,00c08d89fea3,00e2c609b433,1
8,00c08d89fea3,033f42d8a29e,1
9,00e2c609b433,00238fee2b4c,1
10,00e2c609b433,033f42d8a29e,4
11,00e2c609b433,213f6505c6c2,9
12,00e2c609b433,277db1a67434,1
13,00e2c609b433,35444bace328,1
14,00e2c609b433,5e8a21ead848,2
15,00e2c609b433,817944c9c685,1
16,00e2c609b433,d0c9e369bee2,8
17,00e2c609b433,d15eff82084c,1
18,00e2c609b433,e7f10ccd4852,2
19,00e2c609b433,ecc4ba55675b,1
20,012d3b018a1c,294cd5558aed,2
21,012d3b018a1c,d511b5d46902,1
22,012d3b018a1c,e4e1f3095d35,2
23,0192f0f7cc19,4a340903a906,2
24,01a0123885eb,1acc01f346b3,1
25,01a0123885eb,596d0c702ba6,1
26,01a0123885eb,6bcaea988250,1
27,01ee1fa3f6f6,38307094d613,1
28,01ee1fa3f6f6,49b5b0231898,1
29,020d5ea1a53e,1f1708e153fd,1
30,020d5ea1a53e,26a872e4a997,1
31,020d5ea1a53e,2f30ec3c0bf3,1
32,020d5ea1a53e,3b8a97e5d597,1
33,020d5ea1a53e,798ddaf4f9cb,4
34,020d5ea1a53e,d24459bdb4bd,1
35,02ef16a6c394,277db1a67434,1
36,02ef16a6c394,63952a79d8fa,2
37,02ef16a6c394,e922a9e73b66,1
38,0320528adcce,9ed614721c31,1
39,0320528adcce,c6bf1113e45c,1
40,0320528adcce,fe9867174ca9,1
41,033f42d8a29e,00e2c609b433,8
42,033f42d8a29e,213f6505c6c2,2
43,033f42d8a29e,817944c9c685,1
44,033f42d8a29e,d0c9e369bee2,1
45,033f42d8a29e,d15eff82084c,1
46,0345fe1ba399,0f8bd7a29232,1
47,0345fe1ba399,fcd4fd0b9791,1
48,039c20eb5f8b,0622caefe523,2
49,039c20eb5f8b,085b2a38876e,1
50,039c20eb5f8b,11c9978abd32,4
51,039c20eb5f8b,174276bb19cc,1
52,039c20eb5f8b,549a2fac47d7,1
53,039c20eb5f8b,a02a7093edbc,1
54,039c20eb5f8b,a42e815c58f3,12
55,039c20eb5f8b,ad508fd81a92,10
56,039c20eb5f8b,c2ab60ea3e17,6
57,04150f2d5883,900149c65f11,1
58,042a78c14bb4,4860fb4eca2b,1
59,04426339e55d,294cd5558aed,1
60,04426339e55d,3e6ea6702421,1
61,04426339e55d,432fc7b6119c,1
62,04426339e55d,483aab8b1f38,1
63,04426339e55d,980d62c61247,1
64,04426339e55d,f169433b549d,1
65,04bd4bb8b787,2e0efa10d4b6,1
66,04bd4bb8b787,d2fea184642c,1
67,04bf2867f7e7,0632dc7a43b1,2
68,04bf2867f7e7,10534d4e7a9b,3
69,04bf2867f7e7,1813d3440861,1
70,04bf2867f7e7,224365f62f68,1
71,04bf2867f7e7,49a2c59db906,1
72,04bf2867f7e7,cfa861ad68d5,2
73,0604cd3138fe,5344c4110f48,1
74,0604cd3138fe,7182dd431b5c,2
75,0622caefe523,039c20eb5f8b,2
76,0622caefe523,085b2a38876e,3
77,0622caefe523,11c9978abd32,7
78,0622caefe523,a42e815c58f3,51
79,0622caefe523,a6be835812fa,2
80,0622caefe523,b2cc86ae48fd,1
81,0622caefe523,c2ab60ea3e17,1
82,0632dc7a43b1,04bf2867f7e7,2
83,0632dc7a43b1,10534d4e7a9b,5
84,0632dc7a43b1,1813d3440861,1
85,0632dc7a43b1,224365f62f68,1
86,0632dc7a43b1,23e5ea1e37f7,1
87,0632dc7a43b1,2521ef9e54ff,2
88,0632dc7a43b1,34d46bd57a61,1
89,0632dc7a43b1,47b19f8bd140,1
90,0632dc7a43b1,6864a5cf8519,2
91,0632dc7a43b1,c6ab41a0b97a,1
92,065a576c230e,34345e127ad7,1
93,06954b8a7f8d,be4f4b1608d6,1
94,06f6cc456bb1,130fb9040d57,1
95,06f6cc456bb1,6676c20b3c8e,1
96,06f6cc456bb1,76e82dec6df1,1
97,085b2a38876e,039c20eb5f8b,2
98,085b2a38876e,0622caefe523,4
99,085b2a38876e,11c9978abd32,1
100,085b2a38876e,549a2fac47d7,6
101,085b2a38876e,5fa6388d5e22,1
102,085b2a38876e,a42e815c58f3,17
103,085b2a38876e,c2ab60ea3e17,3
104,085b2a38876e,c310a8251638,7
105,085b2a38876e,fecb203bd177,1
106,08b5b23ea880,c431efa3667e,1
107,0970cc3beac8,48c91416b553,1
108,0970cc3beac8,e988d44433f8,1
109,0970cc3beac8,fdb5d0d7ade5,1
110,09b8329bd8e8,fe9701b3fdd6,1
111,0ae1f16981b6,4f112085958d,1
112,0ae1f16981b6,57f964dd22f3,1
113,0ae1f16981b6,6c10b76d1675,1
114,0b35b06a2277,7c594c644910,1
115,0b35b06a2277,8c8bf323b8b0,1
116,0b5988ba5721,15add4a25884,1
117,0b7c17df5c93,2411bc00212d,4
118,0b7c17df5c93,2a96810f857c,3
119,0b7c17df5c93,8a1d282fbc62,1
120,0b7c17df5c93,b10fd0da0efc,4
121,0b7c17df5c93,d0d282f8e42c,1
122,0b7c17df5c93,d1069877e710,3
123,0baf124b9c5e,7e04bb9f5afe,1
124,0bb298c1fc13,42bfe80fd854,4
125,0bd093ecb687,3b7186a51e6d,1
126,0bfefda5d962,3510a92fc7dd,1
127,0bfefda5d962,7121c17f02e3,1
128,0c0a866d236e,2210083ac9e0,1
129,0c0a866d236e,6d8baaaff9a8,2
130,0c0a866d236e,9c37e7118d74,10
131,0c0a866d236e,c1c182347e49,1
132,0c0a866d236e,dcef788d05b6,1
133,0c957eac7ed9,4332cd76590d,1
134,0c957eac7ed9,5876cdb8b0da,1
135,0c957eac7ed9,73410b280868,1
136,0c957eac7ed9,76bae15e8ae9,1
137,0c957eac7ed9,ae89ce58d543,1
138,0d0044cacda0,0d9a5484f79e,4
139,0d0044cacda0,6ad700bedd83,1
140,0d3f2f1576ca,632cc2a9bf8e,1
141,0d6f9709edae,42bfe80fd854,1
142,0d6f9709edae,6bcaea988250,1
143,0d6f9709edae,e609d533127c,1
144,0d9a5484f79e,0d0044cacda0,4
145,0d9a5484f79e,5f5bb9e19f9e,1
146,0d9a5484f79e,6ad700bedd83,2
147,0d9a5484f79e,ae92ca1ecdbf,1
148,0df4bf175294,0b7c17df5c93,1
149,0df4bf175294,54a5ff12a8dd,1
150,0dfcebf485c2,a71e60b1e54e,1
151,0e1a5a785140,07e1906a4c41,1
152,0e1a5a785140,a991b89eed28,1
153,0e3803a9c736,2754f6e1f004,1
154,0e3803a9c736,61bb27d39843,1
155,0e3803a9c736,d66518132f75,1
156,0e3de9e49647,51984e3434d2,1
157,0e3de9e49647,a2a4f4149655,1
158,0e51b8c46864,ddeaefb9ebdd,1
159,0e5275f34e63,29938b66ee9c,1
160,0e8612e70523,483081937fa8,1
161,0e8612e70523,48c91416b553,1
162,0e8612e70523,e02d97fbe3b7,1
163,0e8b7a7f79b3,e05e1450ded4,1
164,0e8cfbcc6331,483081937fa8,1
165,0e8cfbcc6331,5f9e3d4a0fa6,3
166,0e8cfbcc6331,682b73e4ac26,3
167,0e8cfbcc6331,acfee9c442be,1
168,0e8cfbcc6331,e02d97fbe3b7,1
169,0f2cce1aa7f0,187526313b1d,1
170,0f2cce1aa7f0,592d6a5d1bf8,1
171,0f2cce1aa7f0,96dfdb0e696f,1
172,0f31c318c80a,6bcaea988250,2
173,0f31c318c80a,bcce03f625c2,1
174,0f6ef22dc220,6bd19d82fc2f,1
175,0f8bd7a29232,0345fe1ba399,1
176,0fcfb0d3bee2,0baf124b9c5e,1
177,0fcfb0d3bee2,0fd7962d14c4,1
178,0fcfb0d3bee2,3564e90d0fa2,1
179,0fcfb0d3bee2,50978330f36b,1
180,0fcfb0d3bee2,b92ee2af0e07,1
181,0fd7962d14c4,6a287a1078c0,1
182,1010859799ff,20a0b846a834,2
183,1010859799ff,20a499262136,1
184,1010859799ff,373a4a16eaf9,1
185,1010859799ff,58839af42ed3,1
186,1010859799ff,83e7eb77f0f1,5
187,1010859799ff,8cdba996be62,1
188,1010859799ff,a4231df40681,1
189,1010859799ff,ae89ce58d543,18
190,1010859799ff,cccfc2377e10,1
191,10534d4e7a9b,04bf2867f7e7,2
192,10534d4e7a9b,0632dc7a43b1,3
193,10534d4e7a9b,1813d3440861,1
194,10534d4e7a9b,23e5ea1e37f7,1
195,10534d4e7a9b,2521ef9e54ff,4
196,10534d4e7a9b,34d46bd57a61,2
197,10534d4e7a9b,49a2c59db906,2
198,10534d4e7a9b,56d97f67e9f3,1
199,10534d4e7a9b,b68c4830cc9e,1
200,10534d4e7a9b,fa5e7e54261e,1
201,10973be83a0f,7243ae377c21,2
202,10bb64fa1d28,7fb8baac6d4d,1
203,10bb64fa1d28,e67c2b4f0c8f,3
204,110e600290fd,010e171b58be,1
205,110e600290fd,3cb5dde9e392,1
206,110e600290fd,4132596292ae,1
207,110e600290fd,c3aab9310a31,1
208,1110ad464b46,194409ffe6a5,2
209,1110ad464b46,77f073880db5,2
210,1110ad464b46,961cecb58184,2
211,11c9978abd32,039c20eb5f8b,3
212,11c9978abd32,0622caefe523,6
213,11c9978abd32,085b2a38876e,3
214,11c9978abd32,549a2fac47d7,1
215,11c9978abd32,9ed614721c31,1
216,11c9978abd32,a42e815c58f3,18
217,11c9978abd32,a6be835812fa,2
218,11c9978abd32,b2cc86ae48fd,3
219,11c9978abd32,c2ab60ea3e17,1
220,11c9978abd32,cbd02d97b073,1
221,11fc9a680f21,b103b4b46639,1
222,12007f07fca5,8ff02e119c08,1
223,130fb9040d57,231a19b7c156,1
224,130fb9040d57,3a0e14026c6b,3
225,130fb9040d57,466e34f3a4b3,1
226,130fb9040d57,518181f12789,1
227,130fb9040d57,592d6a5d1bf8,1
228,130fb9040d57,5c64a76f031b,1
229,130fb9040d57,6114169e6436,1
230,130fb9040d57,685d22ae4cc3,1
231,130fb9040d57,72a025714561,2
232,130fb9040d57,8240d223ef8e,1
233,130fb9040d57,83e7eb77f0f1,1
234,130fb9040d57,89c5b40d9fba,1
235,130fb9040d57,a56b54e1c593,1
236,130fb9040d57,fdb5d0d7ade5,1
