,node_lat,node_long,neigh_lat,neigh_long
0,52.361922377,0.0,9612.297178916,0.0
1,470.241098981,0.0,9612.297178916,0.0
2,470.241098981,0.0,709.349799474,0.0
3,470.241098981,0.0,126.833800718,0.0
4,470.241098981,0.0,1206.595111947,0.0
5,709.349799474,0.0,9612.297178916,0.0
6,709.349799474,0.0,470.241098981,0.0
7,6.90885779,0.0,9612.297178916,0.0
8,6.90885779,0.0,1206.595111947,0.0
9,6.90885779,0.0,2.505496827,0.0
10,323.219537363,0.0,9612.297178916,0.0
11,323.219537363,0.0,722.044440703,0.0
12,323.219537363,0.0,514.88675289,0.0
13,323.219537363,0.0,286.642528194,0.0
14,323.219537363,0.0,683.066143221,0.0
15,323.219537363,0.0,268.404969498,0.0
16,323.219537363,0.0,1386.667162673,0.0
17,323.219537363,0.0,457.843540119,0.0
18,323.219537363,0.0,498.63902062,0.0
19,323.219537363,0.0,409.512088419,0.0
20,286.642528194,0.0,9612.297178916,0.0
21,286.642528194,0.0,470.241098981,0.0
22,286.642528194,0.0,722.044440703,0.0
23,286.642528194,0.0,514.88675289,0.0
24,286.642528194,0.0,683.066143221,0.0
25,286.642528194,0.0,268.404969498,0.0
26,286.642528194,0.0,273.088928052,0.0
27,286.642528194,0.0,498.63902062,0.0
28,286.642528194,0.0,409.512088419,0.0
29,1206.595111947,0.0,9612.297178916,0.0
30,1206.595111947,0.0,64.419018463,0.0
31,1206.595111947,0.0,166.000472564,0.0
32,1206.595111947,0.0,299.511290686,0.0
33,1206.595111947,0.0,61.321457686,0.0
34,1206.595111947,0.0,1458.89830302,0.0
35,1206.595111947,0.0,168.492426194,0.0
36,1206.595111947,0.0,38.052727677,0.0
37,1206.595111947,0.0,200.379024922,0.0
38,1206.595111947,0.0,584.277713263,0.0
39,1206.595111947,0.0,6.90885779,0.0
40,1206.595111947,0.0,557.341013159,0.0
41,1206.595111947,0.0,1154.453958246,0.0
42,1206.595111947,0.0,2829.735120787,0.0
43,1206.595111947,0.0,382.041637174,0.0
44,1206.595111947,0.0,198.213142267,0.0
45,37.833644643,0.0,191.44042852,0.0
46,10.339191115,0.0,191.44042852,0.0
47,382.041637174,0.0,191.44042852,0.0
48,382.041637174,0.0,1206.595111947,0.0
49,382.041637174,0.0,2829.735120787,0.0
50,13.627932806,0.0,70.790128306,0.0
51,13.627932806,0.0,6.891467023,0.0
52,13.627932806,0.0,24.393075621,0.0
53,13.627932806,0.0,16.845346518,0.0
54,13.627932806,0.0,25.210371297,0.0
55,13.627932806,0.0,31.940000062,0.0
56,13.627932806,0.0,16.171154926,0.0
57,13.627932806,0.0,18.425664971,0.0
58,13.627932806,0.0,12.11319811,0.0
59,13.627932806,0.0,17.69454432,0.0
60,13.627932806,0.0,12.128903099,0.0
61,13.627932806,0.0,13.387590061,0.0
62,13.627932806,0.0,25.471798052,0.0
63,13.627932806,0.0,6.866216929,0.0
64,13.627932806,0.0,2.18843452,0.0
65,13.627932806,0.0,12.017629042,0.0
66,13.627932806,0.0,17.501247243,0.0
67,13.627932806,0.0,69.232611588,0.0
68,13.627932806,0.0,5.168069309,0.0
69,13.627932806,0.0,35.296213123,0.0
70,13.627932806,0.0,55.798294359,0.0
71,13.627932806,0.0,13.463816358,0.0
72,6.891467023,0.0,70.790128306,0.0
73,6.891467023,0.0,13.627932806,0.0
74,6.891467023,0.0,20.309502747,0.0
75,6.891467023,0.0,6.39604377,0.0
76,6.891467023,0.0,22.254282903,0.0
77,6.891467023,0.0,14.279837015,0.0
78,6.891467023,0.0,24.393075621,0.0
79,6.891467023,0.0,16.845346518,0.0
80,6.891467023,0.0,82.132467318,0.0
81,6.891467023,0.0,31.940000062,0.0
82,6.891467023,0.0,25.448562517,0.0
83,6.891467023,0.0,16.174970412,0.0
84,6.891467023,0.0,17.926035137,0.0
85,6.891467023,0.0,233.692864157,0.0
86,6.891467023,0.0,13.188256381,0.0
87,6.891467023,0.0,2.937167089,0.0
88,6.891467023,0.0,5.810539423,0.0
89,6.891467023,0.0,3.738556716,0.0
90,6.891467023,0.0,10.545807272,0.0
91,6.891467023,0.0,76.190513876,0.0
92,6.891467023,0.0,166.229730993,0.0
93,6.891467023,0.0,3.267694974,1.0
94,6.891467023,0.0,9.342310384,0.0
95,6.891467023,0.0,26.67006964,0.0
96,6.891467023,0.0,12.11319811,0.0
97,6.891467023,0.0,17.635672416,0.0
98,6.891467023,0.0,12.052625476,0.0
99,6.891467023,0.0,21.4673368,0.0
100,6.891467023,0.0,17.69454432,0.0
101,6.891467023,0.0,12.128903099,0.0
102,6.891467023,0.0,13.387590061,0.0
103,6.891467023,0.0,25.471798052,0.0
104,6.891467023,0.0,4.609646425,0.0
105,6.891467023,0.0,2.18843452,0.0
106,6.891467023,0.0,30.957578952,0.0
107,6.891467023,0.0,12.017629042,0.0
108,6.891467023,0.0,8.087718499,0.0
109,6.891467023,0.0,8.888795637,0.0
110,6.891467023,0.0,8.894560264,0.0
111,6.891467023,0.0,7.596552305,0.0
112,6.891467023,0.0,10.110020964,0.0
113,6.891467023,0.0,7.662768857,0.0
114,6.891467023,0.0,13.352047978,0.0
115,6.891467023,0.0,17.501247243,0.0
116,6.891467023,0.0,14.129269059,0.0
117,6.891467023,0.0,11.453611597,0.0
118,6.891467023,0.0,69.232611588,0.0
119,6.891467023,0.0,12.094522896,0.0
120,6.891467023,0.0,10.075756973,0.0
121,6.891467023,0.0,17.030533555,0.0
122,6.891467023,0.0,35.296213123,0.0
123,6.891467023,0.0,6.3921964,0.0
124,6.891467023,0.0,55.798294359,0.0
125,6.891467023,0.0,34.599385905,0.0
126,6.891467023,0.0,8.867122627,0.0
127,6.891467023,0.0,3.822478015,0.0
128,20.309502747,0.0,70.790128306,0.0
129,20.309502747,0.0,6.891467023,0.0
130,20.309502747,0.0,11.952476906,0.0
131,20.309502747,0.0,24.393075621,0.0
132,20.309502747,0.0,16.845346518,0.0
133,20.309502747,0.0,26.945092667,0.0
134,20.309502747,0.0,7.765033988,0.0
135,20.309502747,0.0,28.217529498,0.0
136,20.309502747,0.0,8.021045432,0.0
137,20.309502747,0.0,36.885952822,0.0
138,20.309502747,0.0,233.692864157,0.0
139,20.309502747,0.0,39.186740427,0.0
140,20.309502747,0.0,11.725027097,0.0
141,20.309502747,0.0,76.190513876,0.0
142,20.309502747,0.0,166.229730993,0.0
143,20.309502747,0.0,12.509848057,0.0
144,20.309502747,0.0,12.11319811,0.0
145,20.309502747,0.0,17.635672416,0.0
146,20.309502747,0.0,12.052625476,0.0
147,20.309502747,0.0,21.4673368,0.0
148,20.309502747,0.0,17.69454432,0.0
149,20.309502747,0.0,12.128903099,0.0
150,20.309502747,0.0,13.387590061,0.0
151,20.309502747,0.0,25.471798052,0.0
152,20.309502747,0.0,13.40154723,0.0
153,20.309502747,0.0,2.18843452,0.0
154,20.309502747,0.0,12.017629042,0.0
155,20.309502747,0.0,8.087718499,0.0
156,20.309502747,0.0,8.888795637,0.0
157,20.309502747,0.0,8.894560264,0.0
158,20.309502747,0.0,7.596552305,0.0
159,20.309502747,0.0,10.110020964,0.0
160,20.309502747,0.0,13.352047978,0.0
161,20.309502747,0.0,17.501247243,0.0
162,20.309502747,0.0,14.129269059,0.0
163,20.309502747,0.0,69.232611588,0.0
164,20.309502747,0.0,12.094522896,0.0
165,20.309502747,0.0,35.296213123,0.0
166,20.309502747,0.0,6.3921964,0.0
167,20.309502747,0.0,55.798294359,0.0
168,20.309502747,0.0,10.135838774,0.0
169,20.309502747,0.0,14.272640522,0.0
170,20.309502747,0.0,8.867122627,0.0
171,20.309502747,0.0,7.574758381,0.0
172,20.309502747,0.0,37.446974395,0.0
173,6.39604377,0.0,70.790128306,0.0
