,source,dest,month,year
0,373a4a16eaf9,ae89ce58d543,8,2022
1,ae89ce58d543,373a4a16eaf9,8,2022
2,373a4a16eaf9,ae89ce58d543,8,2022
3,ae89ce58d543,373a4a16eaf9,8,2022
4,6b75fb8f8fe2,97a6d21df7c5,8,2022
5,c2ab60ea3e17,549a2fac47d7,8,2022
6,549a2fac47d7,c2ab60ea3e17,8,2022
7,20a0b846a834,4860fb4eca2b,8,2022
8,51e681141116,b51e45a12fba,8,2022
9,b51e45a12fba,51e681141116,8,2022
10,aecef364029f,b51e45a12fba,8,2022
11,d55bec63f284,7d10e92d7749,8,2022
12,7d10e92d7749,d55bec63f284,8,2022
13,d55bec63f284,e31aade2d1ae,8,2022
14,e31aade2d1ae,57d117317719,8,2022
15,57d117317719,23cdd018d515,8,2022
16,23cdd018d515,e31aade2d1ae,8,2022
17,e31aade2d1ae,6c99cbaa2778,8,2022
18,6c99cbaa2778,72e3ef7c52cb,8,2022
19,72e3ef7c52cb,179cf283f9f5,8,2022
20,179cf283f9f5,8e5efe42177f,8,2022
21,8e5efe42177f,179cf283f9f5,8,2022
22,179cf283f9f5,7d10e92d7749,8,2022
23,7d10e92d7749,8e5efe42177f,8,2022
24,8e5efe42177f,8617f3728f3c,8,2022
25,8617f3728f3c,499254fc85e1,8,2022
26,499254fc85e1,08b5b23ea880,8,2022
27,08b5b23ea880,c431efa3667e,8,2022
28,c431efa3667e,65cb10cc4e49,8,2022
29,65cb10cc4e49,57d117317719,8,2022
30,57d117317719,d55bec63f284,8,2022
31,d55bec63f284,e31aade2d1ae,8,2022
32,e31aade2d1ae,7e5a1e6babd8,8,2022
33,7e5a1e6babd8,179cf283f9f5,8,2022
34,b3a8e0e1f9ab,24c988b91198,8,2022
35,24c988b91198,039c20eb5f8b,8,2022
36,039c20eb5f8b,ad508fd81a92,8,2022
37,ad508fd81a92,039c20eb5f8b,8,2022
38,039c20eb5f8b,ad508fd81a92,8,2022
39,ad508fd81a92,039c20eb5f8b,8,2022
40,039c20eb5f8b,c2ab60ea3e17,8,2022
41,c2ab60ea3e17,a02a7093edbc,8,2022
42,a02a7093edbc,9ed614721c31,8,2022
43,9ed614721c31,b28a999c0fba,8,2022
44,b28a999c0fba,11c9978abd32,8,2022
45,4772641f101b,8372369bb901,8,2022
46,373a4a16eaf9,ae89ce58d543,8,2022
47,ae89ce58d543,373a4a16eaf9,8,2022
48,83e7eb77f0f1,373a4a16eaf9,8,2022
49,373a4a16eaf9,64c50151e532,8,2022
50,64c50151e532,592d6a5d1bf8,8,2022
51,592d6a5d1bf8,58839af42ed3,8,2022
52,58839af42ed3,592d6a5d1bf8,8,2022
53,592d6a5d1bf8,58839af42ed3,8,2022
54,58839af42ed3,592d6a5d1bf8,8,2022
55,592d6a5d1bf8,373a4a16eaf9,8,2022
56,34d46bd57a61,b68c4830cc9e,8,2022
57,373a4a16eaf9,64c50151e532,8,2022
58,64c50151e532,58839af42ed3,8,2022
59,58839af42ed3,64c50151e532,8,2022
60,88d1b784dd23,24c988b91198,8,2022
61,24c988b91198,88d1b784dd23,8,2022
62,88d1b784dd23,24c988b91198,8,2022
63,24c988b91198,88d1b784dd23,8,2022
64,88d1b784dd23,24c988b91198,8,2022
65,24c988b91198,88d1b784dd23,8,2022
66,88d1b784dd23,24c988b91198,8,2022
67,24c988b91198,88d1b784dd23,8,2022
68,88d1b784dd23,24c988b91198,8,2022
69,24c988b91198,88d1b784dd23,8,2022
70,88d1b784dd23,3c26647d844c,8,2022
71,3c26647d844c,88d1b784dd23,8,2022
72,88d1b784dd23,549a2fac47d7,8,2022
73,549a2fac47d7,88d1b784dd23,8,2022
74,88d1b784dd23,24c988b91198,8,2022
75,24c988b91198,88d1b784dd23,8,2022
76,88d1b784dd23,24c988b91198,8,2022
77,24c988b91198,88d1b784dd23,8,2022
78,88d1b784dd23,b28a999c0fba,8,2022
79,b28a999c0fba,24c988b91198,8,2022
80,24c988b91198,88d1b784dd23,8,2022
81,88d1b784dd23,72af274646e1,8,2022
82,26a872e4a997,4e49df6a512b,8,2022
83,ae89ce58d543,58839af42ed3,8,2022
84,58839af42ed3,373a4a16eaf9,8,2022
85,79b50932dd99,087741e65b10,8,2022
86,51e681141116,b51e45a12fba,8,2022
87,6ef173bb0d5d,e02d97fbe3b7,8,2022
88,e02d97fbe3b7,9fe0c667ff88,8,2022
89,9fe0c667ff88,b2c4d369c01a,8,2022
90,b2c4d369c01a,995d9379aaac,8,2022
91,995d9379aaac,45bf2a09d4d9,8,2022
92,45bf2a09d4d9,caa27da5d078,8,2022
93,caa27da5d078,e4e1f3095d35,8,2022
94,e7c46013c81f,7d802a5c57e7,8,2022
95,511425f1125b,97782f82720e,8,2022
96,97782f82720e,432fc7b6119c,8,2022
97,432fc7b6119c,e7c46013c81f,8,2022
98,87557ad1d2f9,41cf091084d6,8,2022
99,41cf091084d6,432fc7b6119c,8,2022
100,432fc7b6119c,97782f82720e,8,2022
101,97782f82720e,cd9b7833bc32,8,2022
102,cd9b7833bc32,d42ed19c0d9c,8,2022
103,d42ed19c0d9c,9a72540b319a,8,2022
104,9a72540b319a,260d66f31596,8,2022
105,260d66f31596,9a2d94742295,8,2022
106,9a2d94742295,63889351c5e1,8,2022
107,63889351c5e1,432fc7b6119c,8,2022
108,432fc7b6119c,294cd5558aed,8,2022
109,294cd5558aed,cd9b7833bc32,8,2022
110,cd9b7833bc32,1863b0b035e5,8,2022
111,1863b0b035e5,432fc7b6119c,8,2022
112,432fc7b6119c,e7c46013c81f,8,2022
113,6ef173bb0d5d,432fc7b6119c,8,2022
114,432fc7b6119c,7d802a5c57e7,8,2022
115,87557ad1d2f9,41cf091084d6,8,2022
116,41cf091084d6,e0af15d9ad39,8,2022
117,e0af15d9ad39,0e8cfbcc6331,8,2022
118,0e8cfbcc6331,5f9e3d4a0fa6,8,2022
119,5f9e3d4a0fa6,682b73e4ac26,8,2022
120,682b73e4ac26,56064aa38f88,8,2022
121,56064aa38f88,fc6657f0747d,8,2022
122,fc6657f0747d,d66518132f75,8,2022
123,d66518132f75,609de8094345,8,2022
124,483081937fa8,0e8cfbcc6331,8,2022
125,0e8cfbcc6331,682b73e4ac26,8,2022
126,fc6657f0747d,36b212ef149c,8,2022
127,72a025714561,f87afe134edc,8,2022
128,f87afe134edc,72a025714561,8,2022
129,72a025714561,f87afe134edc,8,2022
130,f87afe134edc,72a025714561,8,2022
131,aecef364029f,5119b118f91d,8,2022
132,1813d3440861,b7108b4935fb,8,2022
133,b7108b4935fb,2521ef9e54ff,8,2022
134,2521ef9e54ff,23e5ea1e37f7,8,2022
135,23e5ea1e37f7,b7108b4935fb,8,2022
136,b7108b4935fb,23e5ea1e37f7,8,2022
137,23e5ea1e37f7,1813d3440861,8,2022
138,1813d3440861,b68c4830cc9e,8,2022
139,b68c4830cc9e,6f1f5bf42259,8,2022
140,6f1f5bf42259,0632dc7a43b1,8,2022
141,0632dc7a43b1,10534d4e7a9b,8,2022
142,10534d4e7a9b,2521ef9e54ff,8,2022
143,2521ef9e54ff,1c196870d209,8,2022
144,1c196870d209,47b19f8bd140,8,2022
145,47b19f8bd140,1c196870d209,8,2022
