,source,dest,month,year
0,58839af42ed3,a4231df40681,6,2022
1,a4231df40681,ae89ce58d543,6,2022
2,ae89ce58d543,58839af42ed3,6,2022
3,58839af42ed3,ae89ce58d543,6,2022
4,ae89ce58d543,373a4a16eaf9,6,2022
5,373a4a16eaf9,ae89ce58d543,6,2022
6,ae89ce58d543,58839af42ed3,6,2022
7,58839af42ed3,cccfc2377e10,6,2022
8,cccfc2377e10,58839af42ed3,6,2022
9,58839af42ed3,373a4a16eaf9,6,2022
10,373a4a16eaf9,ae89ce58d543,6,2022
11,ae89ce58d543,58839af42ed3,6,2022
12,58839af42ed3,ae89ce58d543,6,2022
13,ae89ce58d543,373a4a16eaf9,6,2022
14,373a4a16eaf9,ae89ce58d543,6,2022
15,ae89ce58d543,58839af42ed3,6,2022
16,58839af42ed3,ae89ce58d543,6,2022
17,ae89ce58d543,1010859799ff,6,2022
18,1010859799ff,373a4a16eaf9,6,2022
19,373a4a16eaf9,ae89ce58d543,6,2022
20,ae89ce58d543,58839af42ed3,6,2022
21,58839af42ed3,373a4a16eaf9,6,2022
22,373a4a16eaf9,ae89ce58d543,6,2022
23,ae89ce58d543,373a4a16eaf9,6,2022
24,373a4a16eaf9,58839af42ed3,6,2022
25,58839af42ed3,1010859799ff,6,2022
26,1010859799ff,58839af42ed3,6,2022
27,58839af42ed3,ae89ce58d543,6,2022
28,ae89ce58d543,58839af42ed3,6,2022
29,58839af42ed3,ae89ce58d543,6,2022
30,ae89ce58d543,373a4a16eaf9,6,2022
31,373a4a16eaf9,58839af42ed3,6,2022
32,58839af42ed3,ae89ce58d543,6,2022
33,ae89ce58d543,373a4a16eaf9,6,2022
34,373a4a16eaf9,ae89ce58d543,6,2022
35,ae89ce58d543,373a4a16eaf9,6,2022
36,373a4a16eaf9,58839af42ed3,6,2022
37,58839af42ed3,373a4a16eaf9,6,2022
38,373a4a16eaf9,ae89ce58d543,6,2022
39,7cffec5b2779,1a3c9e9512ea,6,2022
40,1a3c9e9512ea,b659b0bc6172,6,2022
41,b10b20823f57,34d46bd57a61,6,2022
42,aecef364029f,b51e45a12fba,6,2022
43,8617f3728f3c,7d10e92d7749,6,2022
44,7d10e92d7749,d55bec63f284,6,2022
45,d55bec63f284,e31aade2d1ae,6,2022
46,e31aade2d1ae,57d117317719,6,2022
47,57d117317719,65cb10cc4e49,6,2022
48,65cb10cc4e49,38efe5e64041,6,2022
49,38efe5e64041,6c99cbaa2778,6,2022
50,6c99cbaa2778,386870509dc7,6,2022
51,386870509dc7,08b5b23ea880,6,2022
52,08b5b23ea880,386870509dc7,6,2022
53,8617f3728f3c,72e3ef7c52cb,6,2022
54,72e3ef7c52cb,7d10e92d7749,6,2022
55,7d10e92d7749,d55bec63f284,6,2022
56,9c37e7118d74,0c0a866d236e,6,2022
57,ad508fd81a92,a02a7093edbc,6,2022
58,a02a7093edbc,a6be835812fa,6,2022
59,a6be835812fa,11c9978abd32,6,2022
60,a62136c5d05e,ae9dd7c4d1d6,6,2022
