,source,dest,month,year
0,58839af42ed3,ae89ce58d543,2,2022
1,ae89ce58d543,373a4a16eaf9,2,2022
2,373a4a16eaf9,ae89ce58d543,2,2022
3,ae89ce58d543,373a4a16eaf9,2,2022
4,373a4a16eaf9,1010859799ff,2,2022
5,1010859799ff,58839af42ed3,2,2022
6,58839af42ed3,373a4a16eaf9,2,2022
7,373a4a16eaf9,58839af42ed3,2,2022
8,58839af42ed3,373a4a16eaf9,2,2022
9,373a4a16eaf9,ae89ce58d543,2,2022
10,ae89ce58d543,373a4a16eaf9,2,2022
11,373a4a16eaf9,58839af42ed3,2,2022
12,58839af42ed3,373a4a16eaf9,2,2022
13,3bd625f07792,f223bccd09b2,2,2022
14,58839af42ed3,cccfc2377e10,2,2022
15,4772641f101b,8372369bb901,2,2022
16,8372369bb901,4772641f101b,2,2022
17,ae89ce58d543,20a0b846a834,2,2022
18,20a0b846a834,ae89ce58d543,2,2022
19,ae89ce58d543,20a0b846a834,2,2022
20,20a0b846a834,ae89ce58d543,2,2022
21,ae89ce58d543,20a0b846a834,2,2022
22,20a0b846a834,ae89ce58d543,2,2022
23,ae89ce58d543,20a0b846a834,2,2022
24,20a0b846a834,ae89ce58d543,2,2022
25,ae89ce58d543,20a0b846a834,2,2022
26,20a0b846a834,ae89ce58d543,2,2022
27,ae89ce58d543,20a0b846a834,2,2022
28,20a0b846a834,545c0551165b,2,2022
29,545c0551165b,20a0b846a834,2,2022
30,4860fb4eca2b,20a0b846a834,2,2022
31,aecef364029f,b51e45a12fba,2,2022
32,b51e45a12fba,51e681141116,2,2022
33,51e681141116,b51e45a12fba,2,2022
34,b51e45a12fba,aecef364029f,2,2022
35,aecef364029f,1e61da9318ad,2,2022
36,7edbff0f64f6,0ae1f16981b6,2,2022
37,0ae1f16981b6,7edbff0f64f6,2,2022
38,7edbff0f64f6,a0ff9ea48baf,2,2022
39,2dfe1893e251,fe9867174ca9,2,2022
40,20a0b846a834,4860fb4eca2b,2,2022
41,ae89ce58d543,20a0b846a834,2,2022
42,20a0b846a834,1010859799ff,2,2022
43,1010859799ff,58839af42ed3,2,2022
44,8372369bb901,4772641f101b,2,2022
45,fecb203bd177,52b403a5afce,2,2022
46,52b403a5afce,2a13a24897aa,2,2022
47,2a13a24897aa,445553f40763,2,2022
48,445553f40763,ed8b33038fc5,2,2022
49,ed8b33038fc5,af773452206f,2,2022
50,af773452206f,db1a7ebf3727,2,2022
51,db1a7ebf3727,52b403a5afce,2,2022
52,52b403a5afce,2a13a24897aa,2,2022
53,2a13a24897aa,445553f40763,2,2022
54,445553f40763,ed8b33038fc5,2,2022
55,ed8b33038fc5,af773452206f,2,2022
56,af773452206f,db1a7ebf3727,2,2022
57,db1a7ebf3727,fecb203bd177,2,2022
58,fecb203bd177,085b2a38876e,2,2022
59,085b2a38876e,52b403a5afce,2,2022
60,52b403a5afce,2a13a24897aa,2,2022
61,2a13a24897aa,445553f40763,2,2022
62,445553f40763,ed8b33038fc5,2,2022
63,ed8b33038fc5,af773452206f,2,2022
64,af773452206f,db1a7ebf3727,2,2022
65,db1a7ebf3727,fecb203bd177,2,2022
