,source,dest,month,year
0,373a4a16eaf9,ae89ce58d543,9,2022
1,ae89ce58d543,373a4a16eaf9,9,2022
2,373a4a16eaf9,ae89ce58d543,9,2022
3,ae89ce58d543,373a4a16eaf9,9,2022
4,373a4a16eaf9,ae89ce58d543,9,2022
5,ae89ce58d543,373a4a16eaf9,9,2022
6,373a4a16eaf9,ae89ce58d543,9,2022
7,ae89ce58d543,373a4a16eaf9,9,2022
8,373a4a16eaf9,ae89ce58d543,9,2022
9,ae89ce58d543,373a4a16eaf9,9,2022
10,373a4a16eaf9,a4231df40681,9,2022
11,a4231df40681,373a4a16eaf9,9,2022
12,373a4a16eaf9,ae89ce58d543,9,2022
13,ae89ce58d543,373a4a16eaf9,9,2022
14,373a4a16eaf9,7c594c644910,9,2022
15,7c594c644910,ae89ce58d543,9,2022
16,ae89ce58d543,373a4a16eaf9,9,2022
17,373a4a16eaf9,ae89ce58d543,9,2022
18,ae89ce58d543,373a4a16eaf9,9,2022
19,373a4a16eaf9,ae89ce58d543,9,2022
20,97a6d21df7c5,6b75fb8f8fe2,9,2022
21,c2ab60ea3e17,5fa6388d5e22,9,2022
22,5fa6388d5e22,a42e815c58f3,9,2022
23,a42e815c58f3,b2cc86ae48fd,9,2022
24,4860fb4eca2b,20a0b846a834,9,2022
25,20a0b846a834,fa0cb0b93e1b,9,2022
26,fa0cb0b93e1b,20a0b846a834,9,2022
27,20a0b846a834,48f84ea6043f,9,2022
28,48f84ea6043f,20a0b846a834,9,2022
29,51e681141116,b51e45a12fba,9,2022
30,5a96962eec8e,63803285b8e1,9,2022
31,63803285b8e1,4d69e7b48249,9,2022
32,179cf283f9f5,23e8b0175874,9,2022
33,23e8b0175874,8617f3728f3c,9,2022
34,8617f3728f3c,386870509dc7,9,2022
35,386870509dc7,7d10e92d7749,9,2022
36,7d10e92d7749,d55bec63f284,9,2022
37,d55bec63f284,38efe5e64041,9,2022
38,38efe5e64041,65cb10cc4e49,9,2022
39,65cb10cc4e49,57d117317719,9,2022
40,57d117317719,e31aade2d1ae,9,2022
41,e31aade2d1ae,c431efa3667e,9,2022
42,c431efa3667e,4898b2c89209,9,2022
43,4898b2c89209,8e5efe42177f,9,2022
44,8e5efe42177f,8617f3728f3c,9,2022
45,8617f3728f3c,386870509dc7,9,2022
46,386870509dc7,2d769adc12c4,9,2022
47,2d769adc12c4,8617f3728f3c,9,2022
48,8617f3728f3c,04150f2d5883,9,2022
49,04150f2d5883,3802a8d0f0fd,9,2022
50,3802a8d0f0fd,179cf283f9f5,9,2022
51,179cf283f9f5,38efe5e64041,9,2022
52,38efe5e64041,8617f3728f3c,9,2022
53,8617f3728f3c,d55bec63f284,9,2022
54,d55bec63f284,65cb10cc4e49,9,2022
55,11c9978abd32,ad508fd81a92,9,2022
56,ad508fd81a92,b2cc86ae48fd,9,2022
57,b2cc86ae48fd,3b8321fe7f0e,9,2022
58,b3a8e0e1f9ab,549a2fac47d7,9,2022
59,549a2fac47d7,b3a8e0e1f9ab,9,2022
60,b3a8e0e1f9ab,549a2fac47d7,9,2022
61,4bbcec8e8147,91f0092e4068,9,2022
62,91f0092e4068,4bbcec8e8147,9,2022
63,373a4a16eaf9,ae89ce58d543,9,2022
64,ae89ce58d543,373a4a16eaf9,9,2022
65,373a4a16eaf9,ae89ce58d543,9,2022
66,ae89ce58d543,373a4a16eaf9,9,2022
67,373a4a16eaf9,ae89ce58d543,9,2022
68,ae89ce58d543,373a4a16eaf9,9,2022
69,373a4a16eaf9,592d6a5d1bf8,9,2022
70,592d6a5d1bf8,20a0b846a834,9,2022
71,20a0b846a834,592d6a5d1bf8,9,2022
72,592d6a5d1bf8,64c50151e532,9,2022
73,64c50151e532,ae89ce58d543,9,2022
74,ae89ce58d543,83e7eb77f0f1,9,2022
75,83e7eb77f0f1,64c50151e532,9,2022
76,64c50151e532,373a4a16eaf9,9,2022
77,cccfc2377e10,4ede76d3a446,9,2022
78,4ede76d3a446,64c50151e532,9,2022
79,64c50151e532,592d6a5d1bf8,9,2022
80,592d6a5d1bf8,ae89ce58d543,9,2022
81,b68c4830cc9e,34d46bd57a61,9,2022
82,64c50151e532,ae89ce58d543,9,2022
83,ae89ce58d543,64c50151e532,9,2022
84,64c50151e532,20a0b846a834,9,2022
85,20a0b846a834,64c50151e532,9,2022
86,64c50151e532,ae89ce58d543,9,2022
87,ae89ce58d543,64c50151e532,9,2022
88,72af274646e1,88d1b784dd23,9,2022
89,3c26647d844c,88d1b784dd23,9,2022
90,88d1b784dd23,98493e8553f8,9,2022
91,98493e8553f8,88d1b784dd23,9,2022
92,88d1b784dd23,3c26647d844c,9,2022
93,3c26647d844c,88d1b784dd23,9,2022
94,88d1b784dd23,a42e815c58f3,9,2022
95,a42e815c58f3,88d1b784dd23,9,2022
96,88d1b784dd23,24c988b91198,9,2022
97,24c988b91198,c3b0e51dbfd1,9,2022
98,c3b0e51dbfd1,88d1b784dd23,9,2022
99,88d1b784dd23,72af274646e1,9,2022
100,72af274646e1,24c988b91198,9,2022
101,24c988b91198,88d1b784dd23,9,2022
102,88d1b784dd23,24c988b91198,9,2022
103,24c988b91198,88d1b784dd23,9,2022
104,373a4a16eaf9,ae89ce58d543,9,2022
105,ae89ce58d543,fa5b4360fb10,9,2022
106,fa5b4360fb10,54a462dce3c1,9,2022
107,d02d2d6e437b,7c508dc5b5da,9,2022
108,7c508dc5b5da,8effbbe6aa35,9,2022
109,b51e45a12fba,1e61da9318ad,9,2022
110,1e61da9318ad,b51e45a12fba,9,2022
111,b51e45a12fba,51e681141116,9,2022
112,aecef364029f,638333fed90e,9,2022
113,36b212ef149c,48c91416b553,9,2022
114,48c91416b553,f169433b549d,9,2022
115,f169433b549d,e7c46013c81f,9,2022
116,e7c46013c81f,9422370500e7,9,2022
117,9422370500e7,0e8cfbcc6331,9,2022
118,0e8cfbcc6331,682b73e4ac26,9,2022
119,682b73e4ac26,2c33b7dd8542,9,2022
120,2c33b7dd8542,260d66f31596,9,2022
121,7995b28bf42b,e4e1f3095d35,9,2022
122,e4e1f3095d35,914c948388ae,9,2022
123,b6afb7afe424,432fc7b6119c,9,2022
124,432fc7b6119c,97782f82720e,9,2022
125,97782f82720e,63803285b8e1,9,2022
