,source,dest,month,year
0,373a4a16eaf9,ae89ce58d543,11,2022
1,ae89ce58d543,373a4a16eaf9,11,2022
2,373a4a16eaf9,ae89ce58d543,11,2022
3,ae89ce58d543,373a4a16eaf9,11,2022
4,373a4a16eaf9,ae89ce58d543,11,2022
5,373a4a16eaf9,ae89ce58d543,11,2022
6,ae89ce58d543,373a4a16eaf9,11,2022
7,373a4a16eaf9,58839af42ed3,11,2022
8,bedc725da6f5,e988d44433f8,11,2022
9,e988d44433f8,1ff1f0a2e164,11,2022
10,1ff1f0a2e164,5f1fe1c69d9c,11,2022
11,5f1fe1c69d9c,c7bf117459b9,11,2022
12,c7bf117459b9,c2816cd4c92c,11,2022
13,7850e83feab6,31ee25afac11,11,2022
14,31ee25afac11,8f9513f7e773,11,2022
15,039c20eb5f8b,c2ab60ea3e17,11,2022
16,281d362c97c7,3eedbbb6b0d7,11,2022
17,3eedbbb6b0d7,f169433b549d,11,2022
18,f169433b549d,0e8612e70523,11,2022
19,0e8612e70523,6ef173bb0d5d,11,2022
20,6ef173bb0d5d,e16226fb7dde,11,2022
21,e16226fb7dde,48c91416b553,11,2022
22,48c91416b553,487bf8e1a4f1,11,2022
23,56064aa38f88,5f9e3d4a0fa6,11,2022
24,5f9e3d4a0fa6,ca0ac34440ba,11,2022
25,ca0ac34440ba,980d62c61247,11,2022
26,980d62c61247,d7ae93da3f90,11,2022
27,d7ae93da3f90,97782f82720e,11,2022
28,97782f82720e,7d802a5c57e7,11,2022
29,7d802a5c57e7,187380934090,11,2022
30,187380934090,914c948388ae,11,2022
31,914c948388ae,e4e1f3095d35,11,2022
32,600e5730eb50,e9a73389bd39,11,2022
33,1ccb8d961c15,0e8612e70523,11,2022
34,798ddaf4f9cb,e4e1f3095d35,11,2022
35,33a194cda7de,f138448f1a22,11,2022
36,f138448f1a22,e8f248d7a437,11,2022
37,e8f248d7a437,b15c82f6478c,11,2022
38,b15c82f6478c,53d24a7f2dcc,11,2022
39,53d24a7f2dcc,e16226fb7dde,11,2022
40,e16226fb7dde,48c91416b553,11,2022
41,48c91416b553,e16226fb7dde,11,2022
42,56064aa38f88,487bf8e1a4f1,11,2022
43,487bf8e1a4f1,7a0d0e130e9c,11,2022
44,7a0d0e130e9c,d943da81dc4e,11,2022
45,d943da81dc4e,281d362c97c7,11,2022
46,281d362c97c7,1d1e4a41d078,11,2022
47,1d1e4a41d078,c36a1f5e2a48,11,2022
48,c36a1f5e2a48,ea8d207c4ab9,11,2022
49,373a4a16eaf9,1010859799ff,11,2022
50,2d769adc12c4,386870509dc7,11,2022
51,386870509dc7,6c99cbaa2778,11,2022
52,6c99cbaa2778,04150f2d5883,11,2022
53,04150f2d5883,65cb10cc4e49,11,2022
54,65cb10cc4e49,386870509dc7,11,2022
55,386870509dc7,e31aade2d1ae,11,2022
56,e31aade2d1ae,04150f2d5883,11,2022
57,04150f2d5883,57d117317719,11,2022
58,57d117317719,65cb10cc4e49,11,2022
59,65cb10cc4e49,23cdd018d515,11,2022
60,23cdd018d515,d55bec63f284,11,2022
61,d55bec63f284,7d10e92d7749,11,2022
62,7d10e92d7749,d55bec63f284,11,2022
63,38efe5e64041,179cf283f9f5,11,2022
64,179cf283f9f5,72e3ef7c52cb,11,2022
65,72e3ef7c52cb,8617f3728f3c,11,2022
66,8617f3728f3c,23cdd018d515,11,2022
67,23cdd018d515,386870509dc7,11,2022
68,386870509dc7,23cdd018d515,11,2022
69,23cdd018d515,4898b2c89209,11,2022
70,4898b2c89209,2d769adc12c4,11,2022
71,2d769adc12c4,179cf283f9f5,11,2022
72,179cf283f9f5,8e5efe42177f,11,2022
73,ba2d97232907,ad508fd81a92,11,2022
74,ad508fd81a92,ba2d97232907,11,2022
75,ba2d97232907,ad508fd81a92,11,2022
76,4bbcec8e8147,087741e65b10,11,2022
77,087741e65b10,4bbcec8e8147,11,2022
78,a42e815c58f3,039c20eb5f8b,11,2022
79,4bbcec8e8147,91f0092e4068,11,2022
80,91f0092e4068,4bbcec8e8147,11,2022
81,4bbcec8e8147,91f0092e4068,11,2022
82,91f0092e4068,4bbcec8e8147,11,2022
83,4bbcec8e8147,91f0092e4068,11,2022
84,373a4a16eaf9,ae89ce58d543,11,2022
85,ae89ce58d543,373a4a16eaf9,11,2022
86,406e56fcf549,1afc2e0024a4,11,2022
87,1afc2e0024a4,373a4a16eaf9,11,2022
88,373a4a16eaf9,3dfcb2607ca7,11,2022
89,00e2c609b433,d0c9e369bee2,11,2022
90,373a4a16eaf9,20a0b846a834,11,2022
91,20a0b846a834,3dfcb2607ca7,11,2022
92,3dfcb2607ca7,373a4a16eaf9,11,2022
93,373a4a16eaf9,8cdba996be62,11,2022
94,8cdba996be62,6cb190544c58,11,2022
95,6cb190544c58,3dfcb2607ca7,11,2022
96,3dfcb2607ca7,20a0b846a834,11,2022
97,20a0b846a834,406e56fcf549,11,2022
98,406e56fcf549,3dfcb2607ca7,11,2022
99,3dfcb2607ca7,406e56fcf549,11,2022
100,406e56fcf549,20a0b846a834,11,2022
101,20a0b846a834,cccfc2377e10,11,2022
102,88d1b784dd23,3c26647d844c,11,2022
103,3c26647d844c,88d1b784dd23,11,2022
104,373a4a16eaf9,4860fb4eca2b,11,2022
105,a1af79fbc6f1,abcf0898f37c,11,2022
106,487bf8e1a4f1,7243ae377c21,11,2022
107,7243ae377c21,6af91aadeb43,11,2022
108,6af91aadeb43,73a0aefd34b3,11,2022
109,73a0aefd34b3,48c91416b553,11,2022
110,7d802a5c57e7,98b754af76c6,11,2022
111,98b754af76c6,f169433b549d,11,2022
112,f169433b549d,682b73e4ac26,11,2022
113,682b73e4ac26,483aab8b1f38,11,2022
114,483aab8b1f38,432fc7b6119c,11,2022
115,432fc7b6119c,aafe20b988e2,11,2022
116,86f2a0c23daa,d42ed19c0d9c,11,2022
117,d42ed19c0d9c,e0929b1087c1,11,2022
118,e0929b1087c1,9b78f35e0196,11,2022
119,9b78f35e0196,6f0adb33aa49,11,2022
120,6f0adb33aa49,600e5730eb50,11,2022
121,600e5730eb50,9f648e6b3199,11,2022
122,9f648e6b3199,7b15c3ea24ca,11,2022
123,7b15c3ea24ca,cfb2cab4860b,11,2022
124,cfb2cab4860b,e4e1f3095d35,11,2022
125,e4e1f3095d35,48c91416b553,11,2022
126,48c91416b553,e16226fb7dde,11,2022
127,e16226fb7dde,97782f82720e,11,2022
128,97782f82720e,7d802a5c57e7,11,2022
129,7d802a5c57e7,0e8612e70523,11,2022
130,0e8612e70523,9a72540b319a,11,2022
131,9a72540b319a,e9d09d26ed26,11,2022
132,e9d09d26ed26,3e6ea6702421,11,2022
133,3e6ea6702421,c0db79b8255c,11,2022
134,e16226fb7dde,fc6657f0747d,11,2022
135,fc6657f0747d,8e1f192fe25a,11,2022
136,8e1f192fe25a,012d3b018a1c,11,2022
137,012d3b018a1c,260d66f31596,11,2022
138,260d66f31596,0e3803a9c736,11,2022
139,0e3803a9c736,04426339e55d,11,2022
140,04426339e55d,78168d2921f8,11,2022
141,78168d2921f8,45bf2a09d4d9,11,2022
142,45bf2a09d4d9,3d2e0eb68bb1,11,2022
143,3d2e0eb68bb1,65b1818716eb,11,2022
144,65b1818716eb,63889351c5e1,11,2022
145,63889351c5e1,6bebf9fc57b8,11,2022
146,6bebf9fc57b8,c4360e90ba4b,11,2022
147,ca0ac34440ba,a310cacc373e,11,2022
148,a310cacc373e,caa27da5d078,11,2022
149,caa27da5d078,d66518132f75,11,2022
150,d66518132f75,1863b0b035e5,11,2022
151,1863b0b035e5,04426339e55d,11,2022
152,04426339e55d,609de8094345,11,2022
153,609de8094345,665e392864c3,11,2022
154,665e392864c3,8ba5ef4e282b,11,2022
155,8ba5ef4e282b,f169433b549d,11,2022
156,f169433b549d,d42ed19c0d9c,11,2022
157,d42ed19c0d9c,a4b1f95ddfa1,11,2022
158,a4b1f95ddfa1,7a0d0e130e9c,11,2022
159,7a0d0e130e9c,e0929b1087c1,11,2022
160,e0929b1087c1,e9d09d26ed26,11,2022
161,e9d09d26ed26,f169433b549d,11,2022
162,f169433b549d,41cf091084d6,11,2022
163,87557ad1d2f9,3d2e0eb68bb1,11,2022
164,f87afe134edc,72a025714561,11,2022
165,72a025714561,f87afe134edc,11,2022
166,f87afe134edc,72a025714561,11,2022
167,72a025714561,f87afe134edc,11,2022
168,f87afe134edc,72a025714561,11,2022
169,64cd896af0df,93fa9dee9e17,11,2022
170,130fb9040d57,eb7046437af1,11,2022
171,eb7046437af1,2b0b4e219041,11,2022
172,2b0b4e219041,a3f3ce1a4226,11,2022
173,a3f3ce1a4226,e7bd0f718c97,11,2022
174,e7bd0f718c97,a3f3ce1a4226,11,2022
175,a3f3ce1a4226,e7bd0f718c97,11,2022
176,675bfbd015a4,90bbc9533a02,11,2022
177,10534d4e7a9b,0632dc7a43b1,11,2022
178,0632dc7a43b1,04bf2867f7e7,11,2022
179,04bf2867f7e7,2521ef9e54ff,11,2022
180,2521ef9e54ff,fe06da6e1e03,11,2022
181,fe06da6e1e03,2521ef9e54ff,11,2022
182,2521ef9e54ff,23e5ea1e37f7,11,2022
183,23e5ea1e37f7,1813d3440861,11,2022
184,1813d3440861,23e5ea1e37f7,11,2022
185,23e5ea1e37f7,b68c4830cc9e,11,2022
186,b68c4830cc9e,23e5ea1e37f7,11,2022
187,23e5ea1e37f7,2521ef9e54ff,11,2022
188,2521ef9e54ff,b68c4830cc9e,11,2022
189,b68c4830cc9e,23e5ea1e37f7,11,2022
190,23e5ea1e37f7,2521ef9e54ff,11,2022
191,2521ef9e54ff,23e5ea1e37f7,11,2022
192,23e5ea1e37f7,6f1f5bf42259,11,2022
193,4023f322ac7a,1e61da9318ad,11,2022
194,1e61da9318ad,bb0a6ed87fd9,11,2022
195,bb0a6ed87fd9,4d5ed6fbbcd3,11,2022
196,4d5ed6fbbcd3,6041bbb08b7a,11,2022
197,6041bbb08b7a,aecef364029f,11,2022
198,aecef364029f,0bfefda5d962,11,2022
199,0bfefda5d962,280e7a637bb8,11,2022
200,280e7a637bb8,5309619d5958,11,2022
201,5309619d5958,3eedbbb6b0d7,11,2022
202,3eedbbb6b0d7,5309619d5958,11,2022
203,5309619d5958,3eedbbb6b0d7,11,2022
204,3eedbbb6b0d7,5309619d5958,11,2022
205,5309619d5958,3eedbbb6b0d7,11,2022
206,3eedbbb6b0d7,5309619d5958,11,2022
207,5309619d5958,3eedbbb6b0d7,11,2022
208,3eedbbb6b0d7,5309619d5958,11,2022
209,5309619d5958,3eedbbb6b0d7,11,2022
210,3eedbbb6b0d7,2a5cd8f9b12d,11,2022
211,3dfcb2607ca7,373a4a16eaf9,11,2022
212,373a4a16eaf9,3dfcb2607ca7,11,2022
213,373a4a16eaf9,ae89ce58d543,11,2022
214,4ede76d3a446,cccfc2377e10,11,2022
215,cccfc2377e10,20a0b846a834,11,2022
216,20a0b846a834,ae89ce58d543,11,2022
217,ae89ce58d543,3dfcb2607ca7,11,2022
218,3dfcb2607ca7,8cdba996be62,11,2022
219,8cdba996be62,373a4a16eaf9,11,2022
220,373a4a16eaf9,da6f09abbb21,11,2022
221,da6f09abbb21,cccfc2377e10,11,2022
222,cccfc2377e10,8cdba996be62,11,2022
223,8cdba996be62,373a4a16eaf9,11,2022
224,373a4a16eaf9,58839af42ed3,11,2022
225,58839af42ed3,373a4a16eaf9,11,2022
226,373a4a16eaf9,cccfc2377e10,11,2022
227,cccfc2377e10,da6f09abbb21,11,2022
228,da6f09abbb21,7e051ba37ad4,11,2022
229,7e051ba37ad4,373a4a16eaf9,11,2022
230,373a4a16eaf9,8cdba996be62,11,2022
231,8cdba996be62,ae89ce58d543,11,2022
232,ae89ce58d543,3dfcb2607ca7,11,2022
233,3dfcb2607ca7,7c594c644910,11,2022
234,7c594c644910,3dfcb2607ca7,11,2022
235,3dfcb2607ca7,a4231df40681,11,2022
236,a4231df40681,83e7eb77f0f1,11,2022
237,83e7eb77f0f1,7f3541038c0c,11,2022
238,7f3541038c0c,8cdba996be62,11,2022
239,8cdba996be62,4860fb4eca2b,11,2022
240,b51e45a12fba,aecef364029f,11,2022
241,28096b238faf,862952ddccaf,11,2022
242,862952ddccaf,8f9513f7e773,11,2022
243,8f9513f7e773,862952ddccaf,11,2022
244,862952ddccaf,7e431cb8ac2b,11,2022
245,7e431cb8ac2b,862952ddccaf,11,2022
246,ae89ce58d543,8cdba996be62,11,2022
247,8cdba996be62,b4746c6ec078,11,2022
248,b4746c6ec078,7f3541038c0c,11,2022
249,7f3541038c0c,20a0b846a834,11,2022
250,20a0b846a834,8cdba996be62,11,2022
251,cb7e29706787,35cd319dc9c2,11,2022
252,35cd319dc9c2,cb7e29706787,11,2022
253,91f0092e4068,4bbcec8e8147,11,2022
254,4bbcec8e8147,91f0092e4068,11,2022
255,91f0092e4068,4bbcec8e8147,11,2022
256,4bbcec8e8147,91f0092e4068,11,2022
257,91f0092e4068,4bbcec8e8147,11,2022
258,4bbcec8e8147,91f0092e4068,11,2022
