,source,dest,month,year
0,373a4a16eaf9,58839af42ed3,3,2022
1,58839af42ed3,373a4a16eaf9,3,2022
2,373a4a16eaf9,58839af42ed3,3,2022
3,58839af42ed3,ae89ce58d543,3,2022
4,ae89ce58d543,58839af42ed3,3,2022
5,a0b57f287242,88198827bccc,3,2022
6,88198827bccc,a20a2b7bb084,3,2022
7,a20a2b7bb084,277db1a67434,3,2022
8,277db1a67434,02ef16a6c394,3,2022
9,02ef16a6c394,72d9dd541c4f,3,2022
10,72d9dd541c4f,a38280500952,3,2022
11,a38280500952,f223bccd09b2,3,2022
12,f223bccd09b2,c71b6b1b32c8,3,2022
13,c71b6b1b32c8,0b59f34f597a,3,2022
14,0b59f34f597a,b5871f9c7958,3,2022
15,b5871f9c7958,efd9d1e41645,3,2022
16,116a45daf8aa,19f97769ca89,3,2022
17,19f97769ca89,73a684568d3d,3,2022
18,73a684568d3d,b5871f9c7958,3,2022
19,b5871f9c7958,004cdd85f55a,3,2022
20,cccfc2377e10,20a0b846a834,3,2022
21,20a0b846a834,ae89ce58d543,3,2022
22,ae89ce58d543,cccfc2377e10,3,2022
23,20a0b846a834,cccfc2377e10,3,2022
24,cccfc2377e10,20a0b846a834,3,2022
25,20a0b846a834,58839af42ed3,3,2022
26,58839af42ed3,83e7eb77f0f1,3,2022
27,83e7eb77f0f1,20a0b846a834,3,2022
28,b51e45a12fba,51e681141116,3,2022
29,57d117317719,e31aade2d1ae,3,2022
30,e31aade2d1ae,8617f3728f3c,3,2022
31,8617f3728f3c,2d769adc12c4,3,2022
32,2d769adc12c4,04150f2d5883,3,2022
33,04150f2d5883,8e5efe42177f,3,2022
34,8e5efe42177f,499254fc85e1,3,2022
35,a0ff9ea48baf,7edbff0f64f6,3,2022
36,cbd02d97b073,085b2a38876e,3,2022
37,2074b74fbf8b,a64332fe1df1,3,2022
38,a64332fe1df1,07e1906a4c41,3,2022
39,db1a7ebf3727,fecb203bd177,3,2022
40,fecb203bd177,085b2a38876e,3,2022
41,085b2a38876e,52b403a5afce,3,2022
42,52b403a5afce,2a13a24897aa,3,2022
43,2a13a24897aa,445553f40763,3,2022
44,445553f40763,ed8b33038fc5,3,2022
45,ed8b33038fc5,af773452206f,3,2022
46,af773452206f,db1a7ebf3727,3,2022
47,db1a7ebf3727,085b2a38876e,3,2022
48,085b2a38876e,52b403a5afce,3,2022
49,52b403a5afce,2a13a24897aa,3,2022
50,2a13a24897aa,445553f40763,3,2022
51,445553f40763,ed8b33038fc5,3,2022
52,ed8b33038fc5,af773452206f,3,2022
53,af773452206f,db1a7ebf3727,3,2022
54,db1a7ebf3727,085b2a38876e,3,2022
55,085b2a38876e,52b403a5afce,3,2022
56,52b403a5afce,2a13a24897aa,3,2022
57,2a13a24897aa,445553f40763,3,2022
58,445553f40763,ed8b33038fc5,3,2022
59,ed8b33038fc5,af773452206f,3,2022
60,af773452206f,52b403a5afce,3,2022
61,52b403a5afce,2a13a24897aa,3,2022
62,2a13a24897aa,445553f40763,3,2022
63,445553f40763,ed8b33038fc5,3,2022
64,ed8b33038fc5,af773452206f,3,2022
65,af773452206f,db1a7ebf3727,3,2022
66,db1a7ebf3727,9a4a675dbeb6,3,2022
67,36a931194d76,704fabf04c11,3,2022
68,704fabf04c11,dccf69297579,3,2022
69,423e03289170,49be3d65743d,3,2022
70,49be3d65743d,b224bda23846,3,2022
71,b224bda23846,e209f7b7bfe0,3,2022
72,58839af42ed3,373a4a16eaf9,3,2022
73,386870509dc7,6e81c28f0eaa,3,2022
74,6e81c28f0eaa,b68c4830cc9e,3,2022
75,b68c4830cc9e,184eb9d5f7fd,3,2022
76,184eb9d5f7fd,10534d4e7a9b,3,2022
77,10534d4e7a9b,23e5ea1e37f7,3,2022
78,23e5ea1e37f7,b68c4830cc9e,3,2022
79,b68c4830cc9e,10534d4e7a9b,3,2022
80,10534d4e7a9b,b68c4830cc9e,3,2022
81,b68c4830cc9e,38307094d613,3,2022
82,38307094d613,6864a5cf8519,3,2022
83,6864a5cf8519,184eb9d5f7fd,3,2022
84,184eb9d5f7fd,b68c4830cc9e,3,2022
85,b68c4830cc9e,6c99cbaa2778,3,2022
86,6c99cbaa2778,b68c4830cc9e,3,2022
87,b68c4830cc9e,fe06da6e1e03,3,2022
88,b68c4830cc9e,fe06da6e1e03,3,2022
89,fe06da6e1e03,7d10e92d7749,3,2022
90,7d10e92d7749,8e5efe42177f,3,2022
91,8e5efe42177f,38efe5e64041,3,2022
